Season,Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
2025-2026,- -,18,,5 Focuses,,,,,20000000.0,28000000.0,54.0,1.25,14.0,23.0,61.0,2.32,42.0,0.98,11.0,0.98,0.09,1.0,26.0,,,,,2.41,27.0,2.23,25.0,11.17,125.0,11.53,12.42,37.81,423.0,43.53,487.0,87.0,1.25,14.0,0.09,1.0,0.89,10.0,15.0,0.0,0.0,0.0,0.0,1.52,17.0,0.09,1.34,15.0,11.98,30.0,1.43,16.0,3.4,0.0,0.0,,,,0.09,1.34,15.0,8.0,89.5,0.27,3.0,1.79,20.0,10.0,8.0,0.36,4.0,4.0,0.36,0.27,3.0,0.45,4.83,24.0,15.0,3.0,2.42,,1.34,1.07,,15.0,9.0,,0.0,1.38,2.0,,0.0,,,,0.0,0.22,2.42,256.0,,41.96,1007.0,,,,,,,,0.18,,,2.0,7.0,,5.0,12.0,29.0,19.0,13.0,0.22,-0.42,0.36,4.05,,6.98,503.5,5.0,- - -,11.0
2025-2026,- -,19,Wnt,2 Focuses,,,,,31000000.0,38000000.0,25.0,2.78,14.0,18.0,78.0,2.97,27.0,0.79,4.0,0.79,0.0,0.0,15.0,,,,,2.58,13.0,3.37,17.0,13.68,69.0,4.76,15.26,26.56,134.0,31.52,159.0,84.0,2.58,13.0,0.99,5.0,4.96,25.0,20.0,3.0,0.0,0.0,0.0,2.58,13.0,0.0,1.19,6.0,13.88,16.0,0.79,4.0,4.16,0.0,0.0,,,,0.16,3.77,19.0,8.0,40.3,0.99,5.0,4.96,25.0,20.0,7.0,0.59,3.0,4.0,0.79,0.4,2.0,0.2,4.96,13.0,9.0,0.0,2.38,,1.78,0.59,,9.0,4.0,,0.0,2.0,2.0,,0.0,,,,0.0,0.47,2.38,127.0,,34.92,454.0,,,,,,,,0.2,,,1.0,7.0,,1.0,5.0,54.0,5.0,4.0,0.47,-1.38,0.2,0.99,,7.04,454.0,1.0,- - -,15.0
2025-2026,- -,20,Int,,,,,,55000000.0,79000000.0,98.0,2.17,70.0,83.0,84.0,1.83,34.0,0.62,20.0,0.53,0.03,1.0,59.0,,,,,4.41,142.0,3.17,102.0,11.46,369.0,13.44,9.16,37.72,1215.0,43.49,1401.0,87.0,1.83,59.0,0.47,15.0,2.02,65.0,21.0,5.0,0.0,0.03,1.0,2.33,75.0,0.0,1.61,52.0,13.82,26.0,0.78,25.0,2.27,2.0,2.0,,,,0.11,2.67,86.0,7.7,248.8,0.71,23.0,3.38,109.0,23.0,10.0,0.62,20.0,20.0,0.62,0.22,7.0,0.53,3.04,34.0,0.0,1.0,6.4,,2.42,0.78,,78.0,34.0,,0.0,2.47,5.0,100.0,1.0,,,,1.0,0.2,6.4,0.0,,85.26,2899.0,,,,7.8,1.0,2.0,0.0,0.19,,,6.0,26.0,,2.0,6.0,76.0,19.0,34.0,0.2,-0.4,0.32,10.3,,7.45,483.17,17.0,- - -,14.0
2025-2026,- -,25,Int,Bojan Krkic (3/16/2026),,,,,52000000.0,52000000.0,8.0,2.89,11.0,11.0,100.0,3.67,50.0,1.84,7.0,1.57,0.0,0.0,14.0,,,,,2.62,10.0,4.99,19.0,11.28,43.0,4.72,13.38,30.44,116.0,37.52,143.0,81.0,1.31,5.0,0.26,1.0,2.89,11.0,21.0,1.0,0.0,0.0,0.0,1.57,6.0,0.0,1.57,6.0,12.59,25.0,0.52,2.0,1.57,0.0,1.0,,,,0.06,1.57,6.0,6.2,23.7,0.79,3.0,3.67,14.0,9.0,14.0,0.26,1.0,3.0,0.79,,0.0,,2.1,10.0,8.0,1.0,0.79,,1.57,0.79,,6.0,2.0,,0.0,2.2,0.0,,0.0,,,,0.0,0.21,0.79,0.0,,34.3,343.0,,,,7.52,1.0,6.0,0.0,0.52,,,2.0,6.0,,0.0,4.0,60.0,5.0,5.0,0.21,1.21,0.3,1.15,,7.25,171.5,0.0,- - -,15.0
2025-2026,- -,23,,Bojan Krkic,,,,,14500000.0,17500000.0,12.0,2.38,8.0,9.0,89.0,1.49,60.0,0.89,3.0,0.89,0.3,1.0,5.0,,,,,2.67,9.0,2.97,10.0,12.48,42.0,9.8,17.52,32.38,109.0,38.32,129.0,84.0,1.49,5.0,0.0,0.0,1.19,4.0,6.0,0.0,0.0,0.3,1.0,1.49,5.0,0.0,1.19,4.0,12.77,17.0,0.59,2.0,2.97,0.0,2.0,,,,0.25,0.89,3.0,8.1,27.3,0.3,1.0,5.35,18.0,,40.0,0.0,0.0,3.0,0.89,0.89,3.0,0.59,3.56,8.0,6.0,0.0,1.23,,2.08,0.89,,7.0,2.0,,0.0,1.9,0.0,100.0,1.0,,,,1.0,0.37,1.23,11.0,,37.88,303.0,,,,,,,,0.59,,,2.0,5.0,,2.0,1.0,63.0,1.0,4.0,0.37,0.77,0.28,0.93,,7.08,151.5,2.0,- - -,13.0
2025-2026,- -,22,Wnt,Bojan Krkic (2/17/2026),,,,,18000000.0,27000000.0,0.0,1.26,43.0,55.0,78.0,2.41,61.0,1.47,50.0,0.0,0.0,0.0,82.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.29,418.0,20.0,680.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.0,0.0,0.0,0.0,,,0.0,0.12,,34.0,0.0,0.0,8.54,,0.0,0.0,,0.0,34.0,,0.0,1.0,2.0,,0.0,,,,0.0,0.25,8.54,0.0,,90.0,3060.0,,,,,,,,0.82,,,28.0,0.0,,0.0,34.0,0.0,45.0,25.0,0.25,19.46,0.09,2.99,,7.54,109.29,4.0,- - -,14.0
2025-2026,- -,24,Int,Gaby Ruiz (3/14/2026),,,,,113000000.0,113000000.0,138.0,2.14,70.0,97.0,72.0,0.61,40.0,0.24,8.0,0.24,0.46,15.0,20.0,,,,,5.54,181.0,2.6,85.0,11.05,361.0,13.04,5.57,45.58,1489.0,50.72,1657.0,90.0,1.13,37.0,0.06,2.0,0.34,11.0,18.0,1.0,0.0,0.06,2.0,1.13,37.0,0.49,1.93,63.0,13.13,55.0,2.33,76.0,1.9,0.0,0.0,,,,0.13,1.29,42.0,8.5,278.2,0.06,2.0,0.34,11.0,18.0,5.0,0.8,26.0,10.0,0.31,0.34,11.0,0.21,4.22,35.0,0.0,3.0,2.54,,1.01,1.16,,33.0,35.0,,1.0,1.2,1.0,,0.0,,,,0.0,0.08,2.54,533.0,,84.0,2940.0,,,,7.0,2.0,7.0,3.0,0.03,,,1.0,10.0,,13.0,12.0,29.0,57.0,35.0,0.08,-1.54,0.21,6.76,,6.99,2940.0,7.0,- - -,13.0
2025-2026,- -,26,,,,,,,97000000.0,97000000.0,258.0,1.22,50.0,64.0,78.0,0.42,35.0,0.15,6.0,0.05,0.42,17.0,17.0,,,,,3.84,157.0,1.27,52.0,3.7,151.0,17.27,3.23,61.27,2502.0,65.8,2687.0,93.0,0.49,20.0,0.07,3.0,0.32,13.0,23.0,1.0,0.0,0.27,11.0,0.49,20.0,0.73,2.6,106.0,7.05,74.0,4.7,192.0,1.62,0.0,0.0,,,,0.14,0.32,13.0,7.5,305.7,0.07,3.0,0.32,13.0,23.0,18.0,1.05,43.0,6.0,0.15,0.47,19.0,0.02,6.32,41.0,0.0,12.0,2.31,,1.4,1.15,,57.0,41.0,,0.0,1.51,2.0,,0.0,,,,0.0,0.06,2.31,1254.0,,89.63,3675.0,,,,,,,,0.07,,,3.0,16.0,,11.0,14.0,39.0,34.0,18.0,0.06,0.69,0.1,4.02,,7.08,1225.0,1.0,- - -,13.0
2025-2026,- -,30,,,,,,,87000000.0,126000000.0,61.0,1.83,52.0,61.0,85.0,1.97,48.0,0.95,27.0,0.95,0.0,0.0,56.0,,,,,0.99,28.0,1.3,37.0,6.03,171.0,4.79,8.25,21.26,603.0,27.14,770.0,78.0,0.6,17.0,0.11,3.0,0.63,18.0,15.0,6.0,0.0,0.0,0.0,0.74,21.0,0.04,1.06,30.0,9.8,21.0,0.46,13.0,1.69,2.0,7.0,,,,0.09,1.02,29.0,5.0,142.1,0.42,12.0,2.82,80.0,16.0,9.0,0.49,14.0,8.0,0.28,0.07,2.0,0.11,2.15,37.0,7.0,0.0,5.29,,0.85,0.56,,24.0,30.0,,1.0,1.41,2.0,,0.0,,,,0.0,0.19,5.29,0.0,,69.0,2553.0,,,,,,,,0.18,,,5.0,11.0,,7.0,19.0,30.0,21.0,53.0,0.19,-0.29,0.12,3.51,,7.06,510.6,3.0,- - -,14.0
2025-2026,- -,25,Int,Bojan Krkic (3/16/2026),,,,,51000000.0,73000000.0,352.0,1.35,53.0,81.0,65.0,3.37,53.0,1.79,70.0,0.92,0.0,0.0,132.0,,,,,0.77,30.0,1.99,78.0,6.66,261.0,3.32,15.53,19.51,765.0,23.31,914.0,84.0,0.66,26.0,0.0,0.0,0.41,16.0,0.0,32.0,0.0,0.0,0.0,0.66,26.0,0.18,0.94,37.0,6.73,39.0,3.49,137.0,5.48,2.0,1.0,,,,0.12,0.92,36.0,7.3,288.0,0.0,0.0,0.41,16.0,,17.0,0.26,10.0,10.0,0.26,0.1,4.0,0.13,8.98,44.0,1.0,1.0,15.97,,2.09,0.74,,82.0,43.0,,0.0,2.25,4.0,,0.0,,,,0.0,0.41,15.97,0.0,,80.2,3529.0,,,,,,,,0.59,,,23.0,31.0,,7.0,6.0,70.0,43.0,88.0,0.41,7.03,0.16,6.13,,7.12,153.43,5.0,- - -,14.0
2025-2026,- -,21,,Ricardo Camacho (4/1/2026),,,,,87000000.0,126000000.0,218.0,3.11,121.0,145.0,83.0,2.06,39.0,0.8,31.0,0.62,0.0,0.0,80.0,,,,,2.39,93.0,4.3,167.0,13.61,529.0,5.17,20.71,27.61,1073.0,33.4,1298.0,83.0,1.11,43.0,0.41,16.0,2.62,102.0,16.0,29.0,0.0,0.03,1.0,1.11,43.0,0.1,1.78,69.0,15.08,51.0,2.88,112.0,2.73,4.0,0.0,,,,0.13,3.24,126.0,8.0,310.3,0.41,16.0,2.62,102.0,15.0,11.0,0.49,19.0,11.0,0.28,0.23,9.0,0.18,5.61,49.0,1.0,1.0,10.14,,1.47,1.21,,57.0,48.0,,0.0,1.65,3.0,100.0,1.0,,,,1.0,0.26,10.14,472.0,,71.39,3498.0,,,,7.1,2.0,3.0,3.0,0.23,,,9.0,24.0,,16.0,9.0,49.0,63.0,52.0,0.26,-1.14,0.16,6.37,,7.04,388.67,7.0,- - -,16.0
2025-2026,- -,24,,Bojan Krkic (3/16/2026),,,,,62000000.0,73000000.0,,0.03,1.0,2.0,50.0,,,,,,,,0.0,21.0,55.0,27.0,76.0,0.11,4.0,0.0,0.0,0.0,0.0,5.2,5.71,27.89,976.0,31.34,1097.0,89.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,89.0,0.21,7.19,0.0,,0.0,3.7,130.4,,,,,,,2.89,,0.0,,,,,,35.0,0.0,0.0,0.0,2.0,1.51,0.94,33.0,53.0,35.0,12.0,0.0,1.8,3.0,,0.0,50.0,1.0,2.0,0.0,0.0,0.0,,35.0,90.0,3150.0,,,,,,,,,0.94,33.0,0.0,18.0,,8.0,9.0,51.0,0.0,13.0,0.0,0.0,0.0,0.0,0.34,6.94,,0.0,- - -,9.0
2025-2026,- -,18,,4 Focuses,,,,,25000000.0,35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,12.0
2025-2026,- -,22,,Bojan Krkic,,,,,26000000.0,30000000.0,6.0,2.55,4.0,4.0,100.0,4.47,43.0,1.91,3.0,0.64,0.0,0.0,7.0,,,,,2.55,4.0,1.91,3.0,8.94,14.0,4.47,15.96,27.45,43.0,34.47,54.0,80.0,1.28,2.0,0.64,1.0,2.55,4.0,17.0,0.0,0.0,0.0,0.0,1.28,2.0,0.0,1.28,2.0,12.77,17.0,0.64,1.0,3.19,0.0,0.0,,,,0.05,1.91,3.0,7.3,11.4,0.64,1.0,3.83,6.0,25.0,,0.0,0.0,0.0,,0.64,1.0,,3.83,8.0,8.0,0.0,0.36,,1.28,0.64,,2.0,,,0.0,1.6,0.0,,0.0,,,,0.0,0.23,0.36,,,17.62,141.0,,,,,,,,,,,0.0,3.0,,1.0,4.0,38.0,2.0,3.0,0.23,-0.36,0.09,0.14,,6.75,,0.0,- - -,16.0
2025-2026,- -,21,Wnt,,,,,,94000000.0,137000000.0,38.0,0.98,6.0,9.0,67.0,3.09,63.0,1.95,12.0,0.65,0.0,0.0,19.0,,,,,0.16,1.0,2.12,13.0,7.81,48.0,2.93,12.86,20.18,124.0,22.62,139.0,89.0,0.65,4.0,0.33,2.0,0.49,3.0,67.0,2.0,0.0,0.0,0.0,0.65,4.0,0.33,0.98,6.0,6.02,47.0,2.93,18.0,3.25,1.0,0.0,,,,0.21,1.14,7.0,7.9,48.3,0.33,2.0,0.49,3.0,66.0,42.0,0.81,5.0,2.0,0.33,,0.0,,6.18,13.0,8.0,1.0,3.98,,2.44,2.93,,15.0,5.0,,0.0,1.38,1.0,100.0,1.0,,,,1.0,0.52,3.18,106.0,,42.54,553.0,,,,7.43,1.0,7.0,0.0,1.3,,,8.0,5.0,,5.0,3.0,38.0,4.0,15.0,0.65,4.02,0.25,1.53,,7.13,69.12,0.0,- - -,15.0
2025-2026,- -,23,,,,,,,77000000.0,90000000.0,68.0,2.03,81.0,93.0,87.0,1.53,49.0,0.75,30.0,0.28,0.05,2.0,61.0,,,,,1.85,74.0,1.0,40.0,4.23,169.0,4.43,3.78,23.94,957.0,29.85,1193.0,80.0,0.63,25.0,0.08,3.0,0.43,17.0,23.0,3.0,0.0,0.03,1.0,0.68,27.0,0.05,1.0,40.0,5.45,49.0,0.83,33.0,0.88,0.0,0.0,,,,0.13,0.58,23.0,3.3,131.2,0.13,5.0,0.55,22.0,17.0,8.0,0.18,7.0,5.0,0.13,0.08,3.0,0.35,1.7,40.0,0.0,0.0,7.63,,0.63,0.65,,25.0,40.0,,0.0,1.23,2.0,,0.0,,,,0.0,0.19,7.63,0.0,,89.92,3597.0,,,,6.97,0.0,4.0,2.0,0.13,,,5.0,7.0,,5.0,28.0,18.0,24.0,62.0,0.19,-2.63,0.15,5.95,,7.55,719.4,14.0,- - -,15.0
2025-2026,- -,22,Inj,Javier Ribalta,,,,,22000000.0,27000000.0,25.0,1.07,7.0,12.0,58.0,3.81,36.0,1.37,9.0,1.37,0.0,0.0,25.0,,,,,1.98,13.0,1.83,12.0,10.68,70.0,5.95,14.34,26.85,176.0,32.34,212.0,83.0,0.92,6.0,0.31,2.0,1.53,10.0,43.0,1.0,1.0,0.0,0.0,2.44,16.0,0.0,2.29,15.0,12.97,8.0,0.31,2.0,3.51,1.0,0.0,,,,0.12,1.53,10.0,8.2,53.9,1.53,10.0,3.51,23.0,20.0,12.0,0.15,1.0,8.0,1.22,0.46,3.0,0.61,3.81,20.0,16.0,0.0,3.1,,2.44,0.76,,16.0,4.0,,0.0,2.05,1.0,,0.0,,,,0.0,0.47,3.1,7.0,,29.5,590.0,,,,,,,,0.46,,,3.0,13.0,,5.0,2.0,65.0,6.0,13.0,0.47,-0.1,0.49,3.19,,7.18,196.67,4.0,- - -,14.0
2025-2026,- -,23,Wnt,Bojan Krkic,,,,,45000000.0,53000000.0,80.0,1.88,40.0,55.0,73.0,3.39,35.0,1.18,25.0,1.32,0.0,0.0,72.0,,,,,2.4,51.0,3.25,69.0,11.63,247.0,7.48,18.17,29.84,634.0,34.74,738.0,86.0,1.37,29.0,0.28,6.0,1.84,39.0,15.0,10.0,0.0,0.09,2.0,1.37,29.0,0.0,1.51,32.0,12.47,11.0,0.42,9.0,3.34,3.0,4.0,,,,0.13,2.35,50.0,7.7,163.8,0.28,6.0,1.88,40.0,15.0,11.0,0.33,7.0,7.0,0.33,0.28,6.0,0.05,3.77,37.0,26.0,0.0,9.01,,1.41,0.85,,30.0,11.0,,0.0,1.68,1.0,,0.0,,,,0.0,0.42,9.01,0.0,,51.68,1912.0,,,,7.1,0.0,2.0,1.0,0.38,,,8.0,16.0,,7.0,14.0,43.0,16.0,34.0,0.42,-1.01,0.17,3.52,,7.03,239.0,1.0,- - -,14.0
2025-2026,- -,23,,3 Focuses,,,,,74000000.0,88000000.0,313.0,1.49,67.0,83.0,81.0,0.47,33.0,0.16,7.0,0.13,1.07,48.0,21.0,,,,,4.53,204.0,1.38,62.0,3.09,139.0,16.56,3.02,56.49,2542.0,60.82,2737.0,93.0,0.29,13.0,0.02,1.0,0.16,7.0,14.0,1.0,0.0,0.36,16.0,0.29,13.0,0.8,1.84,83.0,5.51,69.0,4.78,215.0,2.18,0.0,0.0,,,,0.11,0.11,5.0,7.3,327.4,0.02,1.0,0.16,7.0,14.0,5.0,0.87,39.0,3.0,0.07,0.29,13.0,0.02,6.96,45.0,0.0,0.0,2.38,,1.27,1.0,,57.0,45.0,,0.0,1.53,2.0,,0.0,,,,0.0,0.05,2.38,2674.0,,90.0,4050.0,,,,6.99,0.0,7.0,0.0,0.02,,,1.0,19.0,,14.0,12.0,42.0,14.0,9.0,0.05,-1.38,0.03,1.57,,6.96,4050.0,1.0,- - -,14.0
2025-2026,- -,21,Int,Bojan Krkic (2/17/2026),,,,,35000000.0,51000000.0,0.0,1.5,50.0,95.0,53.0,2.11,51.0,1.08,36.0,0.0,0.0,0.0,70.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65,487.0,20.46,680.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,,,0.0,0.27,,34.0,1.0,0.0,6.97,,0.0,0.0,,0.0,33.0,,0.0,1.0,1.0,,0.0,,,,0.0,0.21,6.97,0.0,,87.97,2991.0,,,,,,,,0.09,,,3.0,0.0,,0.0,34.0,0.0,52.0,59.0,0.21,-3.97,0.0,0.0,,7.66,997.0,9.0,- - -,15.0
2025-2026,- -,18,,Bojan Krkic (2/17/2026),,,,,170000.0,4400000.0,4.0,0.66,1.0,2.0,50.0,1.31,100.0,1.31,2.0,0.66,0.0,0.0,2.0,,,,,5.91,9.0,1.31,2.0,11.82,18.0,9.2,12.48,44.67,68.0,47.96,73.0,93.0,3.28,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.6,7.0,0.0,1.31,2.0,12.48,50.0,1.31,2.0,1.31,0.0,0.0,,,,0.07,,0.0,8.0,12.2,0.0,0.0,0.0,0.0,,,0.66,1.0,0.0,,,0.0,,2.63,5.0,5.0,0.0,0.15,,0.66,1.31,,1.0,,,0.0,1.45,0.0,,0.0,,,,0.0,0.1,0.15,,,27.4,137.0,,,,,,,,,,,0.0,2.0,,2.0,1.0,40.0,1.0,0.0,0.1,-0.15,0.07,0.11,,6.4,,0.0,- - -,9.0
2025-2026,- -,24,,Vito Leccese (3/21/2026),,,,,48000000.0,69000000.0,155.0,1.81,49.0,69.0,71.0,1.62,52.0,0.85,23.0,0.33,0.0,0.0,44.0,,,,,1.66,45.0,3.1,84.0,10.38,281.0,3.25,18.5,22.56,611.0,26.52,718.0,85.0,0.81,22.0,0.37,10.0,2.03,55.0,17.0,23.0,0.0,0.07,2.0,0.81,22.0,0.04,1.62,44.0,10.67,23.0,1.29,35.0,4.43,1.0,0.0,,,,0.19,1.96,53.0,7.8,211.8,0.37,10.0,2.18,59.0,18.0,30.0,0.3,8.0,6.0,0.22,0.04,1.0,0.04,5.72,36.0,5.0,0.0,8.28,,1.44,1.29,,39.0,31.0,,0.0,1.58,1.0,50.0,1.0,,,,2.0,0.28,7.47,0.0,,67.69,2437.0,,,,,,,,0.48,,,13.0,16.0,,11.0,9.0,44.0,47.0,56.0,0.31,4.72,0.07,1.94,,6.93,187.46,1.0,- - -,19.0
2025-2026,- -,17,,2 Focuses,,,,,23000000.0,32000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,12.0
2025-2026,- -,23,,Javier Ribalta (2/6/2026),,,,,49000000.0,70000000.0,5.0,0.78,10.0,16.0,63.0,3.49,47.0,1.63,21.0,0.08,0.0,0.0,45.0,,,,,0.16,2.0,0.31,4.0,0.85,11.0,0.23,1.01,12.33,159.0,20.0,258.0,62.0,0.08,1.0,0.08,1.0,0.23,3.0,33.0,2.0,0.0,0.0,0.0,0.08,1.0,0.0,0.08,1.0,0.62,40.0,0.16,2.0,0.23,0.0,0.0,,,,0.1,0.16,2.0,0.5,6.8,0.08,1.0,0.23,3.0,33.0,9.0,0.0,0.0,0.0,,,0.0,,0.39,14.0,2.0,0.0,4.64,,0.0,0.0,,0.0,12.0,,0.0,1.29,0.0,,0.0,,,,0.0,0.36,4.64,0.0,,82.93,1161.0,,,,,,,,0.31,,,4.0,2.0,,0.0,12.0,14.0,20.0,23.0,0.36,-0.64,0.1,1.34,,7.08,290.25,0.0,- - -,17.0
2025-2026,- -,24,Wnt,5 Focuses,,,,,39000000.0,39000000.0,24.0,1.89,10.0,11.0,91.0,,,,,0.0,0.38,2.0,0.0,,,,,4.93,26.0,0.95,5.0,5.49,29.0,9.28,5.49,59.12,312.0,64.04,338.0,92.0,0.95,5.0,0.0,0.0,0.38,2.0,0.0,0.0,0.0,0.19,1.0,0.95,5.0,0.19,1.33,7.0,9.28,50.0,2.27,12.0,2.27,0.0,0.0,,,,0.0,0.38,2.0,8.2,43.1,0.0,0.0,0.38,2.0,,,1.33,7.0,2.0,0.38,0.76,4.0,,4.55,10.0,6.0,0.0,0.0,,2.27,1.33,,12.0,4.0,,0.0,2.2,0.0,,0.0,,,,0.0,0.0,0.0,,,47.5,475.0,,,,6.8,0.0,1.0,1.0,,,,0.0,7.0,,2.0,1.0,70.0,3.0,4.0,0.0,0.0,0.07,0.35,,6.79,,0.0,- - -,13.0
2025-2026,- -,17,Int,Ricardo Camacho (3/1/2026),,,,,9800000.0,9800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,11.0
2025-2026,- -,20,,,,,,,30000000.0,36000000.0,133.0,1.94,53.0,78.0,68.0,0.99,30.0,0.29,8.0,0.4,0.0,0.0,27.0,,,,,3.74,102.0,3.48,95.0,10.55,288.0,5.09,12.6,26.56,725.0,32.34,883.0,82.0,1.17,32.0,0.84,23.0,4.73,129.0,16.0,8.0,0.0,0.11,3.0,1.5,41.0,0.0,1.72,47.0,12.64,13.0,0.62,17.0,4.25,0.0,0.0,,,,0.06,2.97,81.0,7.7,211.5,1.06,29.0,6.74,184.0,17.0,11.0,0.88,24.0,11.0,0.4,0.33,9.0,0.07,4.87,33.0,1.0,0.0,1.68,,1.28,1.36,,35.0,32.0,,0.0,1.3,5.0,,0.0,,,,0.0,0.06,1.68,0.0,,74.45,2457.0,,,,,,,,0.11,,,3.0,11.0,,12.0,10.0,33.0,24.0,41.0,0.06,1.32,0.21,5.72,,7.26,819.0,2.0,- - -,16.0
2025-2026,- -,24,Int,2 Focuses,,,,,42000000.0,49000000.0,5.0,3.44,10.0,11.0,91.0,3.09,44.0,1.37,4.0,1.03,0.34,1.0,9.0,,,,,4.81,14.0,3.78,11.0,10.65,31.0,9.96,14.77,42.25,123.0,49.47,144.0,85.0,0.69,2.0,0.0,0.0,1.72,5.0,0.0,0.0,0.0,0.0,0.0,0.69,2.0,0.0,2.75,8.0,15.11,60.0,1.03,3.0,0.69,1.0,0.0,,,,0.15,2.75,8.0,8.7,25.2,0.0,0.0,1.72,5.0,,11.0,0.69,2.0,1.0,0.34,1.03,3.0,0.69,1.72,6.0,4.0,1.0,1.34,,2.4,1.72,,7.0,2.0,,0.0,2.1,1.0,,0.0,,,,0.0,0.46,1.34,31.0,,43.67,262.0,,,,7.15,1.0,2.0,1.0,0.34,,,1.0,5.0,,1.0,0.0,83.0,5.0,2.0,0.46,-0.34,0.23,0.66,,7.18,262.0,2.0,- - -,14.0
2025-2026,- -,23,Int,4 Focuses,,,,,36000000.0,43000000.0,,,,0.0,,,,,,,,,0.0,9.0,28.0,20.0,71.0,0.24,4.0,0.0,0.0,0.0,0.0,4.62,5.22,33.96,566.0,36.18,603.0,94.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.06,1.0,0.0,,,,,,,85.0,-0.11,-1.83,0.0,,0.0,4.0,66.5,,,,,,,1.44,,0.0,,,,,,16.0,0.0,1.0,0.0,3.0,1.86,1.5,25.0,31.0,16.0,3.0,0.0,1.75,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,93.75,1500.0,,,2.0,6.95,0.0,2.0,0.0,,1.5,25.0,0.0,8.0,,4.0,4.0,50.0,1.0,6.0,0.0,0.0,0.0,0.0,0.18,6.74,,0.0,- - -,12.0
