Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
- -,23,Int,,,,,,113000000.0,133000000.0,90.0,1.65,69.0,86.0,80.0,1.72,50.0,0.86,36.0,0.21,0.07,3.0,72.0,,,,,3.03,127.0,1.62,68.0,6.13,257.0,5.39,3.2,31.65,1327.0,37.86,1587.0,84.0,0.6,25.0,0.07,3.0,0.31,13.0,23.0,0.0,0.0,0.02,1.0,0.67,28.0,0.07,0.95,40.0,6.46,60.0,1.29,54.0,0.86,1.0,0.0,,,,0.12,0.38,16.0,4.2mi,175.9mi,0.07,3.0,0.31,13.0,23.0,8.0,0.21,9.0,6.0,0.14,0.1,4.0,0.24,2.15,43.0,0.0,2.0,8.39,,0.95,0.69,,40.0,43.0,,0.0,1.37,3.0,100.0,1.0,,,,1.0,0.18,7.59,0.0,,87.74,3773.0,,,,6.78,0.0,8.0,1.0,0.14,,,6.0,11.0,,6.0,26.0,26.0,40.0,50.0,0.2,-2.39,0.12,5.0,,7.21,628.83,10.0,- - -,13.0
- -,25,Int,,,,,,91000000.0,91000000.0,276.0,1.56,63.0,74.0,85.0,0.4,38.0,0.15,6.0,0.07,0.59,24.0,16.0,,,,,4.58,185.0,1.16,47.0,3.64,147.0,17.17,3.14,57.06,2306.0,61.32,2478.0,93.0,0.3,12.0,0.02,1.0,0.12,5.0,20.0,0.0,1.0,0.4,16.0,0.3,12.0,0.77,1.93,78.0,4.53,68.0,4.63,187.0,2.2,0.0,0.0,,,,0.07,0.1,4.0,6.9mi,277.4mi,0.02,1.0,0.12,5.0,20.0,6.0,0.89,36.0,4.0,0.1,0.49,20.0,0.07,6.83,42.0,0.0,4.0,1.04,,1.24,1.16,,50.0,42.0,,0.0,1.24,1.0,,0.0,,,,0.0,0.03,1.04,1698.0,,86.6,3637.0,,,,7.45,0.0,2.0,1.0,0.02,,,1.0,15.0,,20.0,7.0,36.0,25.0,5.0,0.03,-0.04,0.03,1.37,,7.05,3637.0,3.0,- - -,15.0
- -,23,Wnt,2 Focuses,,,,,63000000.0,63000000.0,165.0,2.73,97.0,114.0,85.0,2.03,36.0,0.73,26.0,0.87,0.0,0.0,72.0,,,,,3.94,140.0,3.35,119.0,13.26,471.0,5.58,15.29,32.13,1141.0,38.47,1366.0,84.0,1.94,69.0,0.51,18.0,2.59,92.0,17.0,15.0,0.0,0.0,0.0,3.27,116.0,0.06,1.44,51.0,14.31,28.0,1.32,47.0,3.32,2.0,6.0,,,,0.1,2.96,105.0,8.0mi,282.4mi,0.65,23.0,3.77,134.0,19.0,13.0,0.84,30.0,13.0,0.37,0.2,7.0,0.25,4.65,41.0,0.0,0.0,7.56,,1.07,1.58,,38.0,41.0,,0.0,1.02,5.0,100.0,1.0,,,,1.0,0.21,7.56,357.0,,77.95,3196.0,,,,,,,,0.25,,,9.0,12.0,,23.0,6.0,29.0,25.0,46.0,0.21,1.44,0.21,7.52,,7.28,355.11,9.0,- - -,15.0
- -,27,Int,,,,,,52000000.0,78000000.0,80.0,1.82,74.0,91.0,81.0,2.09,55.0,1.16,47.0,0.25,0.0,0.0,85.0,,,,,1.58,64.0,1.77,72.0,6.18,251.0,2.98,7.31,20.04,814.0,26.37,1071.0,76.0,0.52,21.0,0.2,8.0,0.89,36.0,21.0,2.0,0.0,0.0,0.0,0.69,28.0,0.0,1.01,41.0,6.72,33.0,0.64,26.0,1.33,2.0,1.0,,,,0.13,1.65,67.0,3.8mi,155.3mi,0.3,12.0,1.4,57.0,22.0,21.0,0.42,17.0,8.0,0.2,0.15,6.0,0.3,1.97,43.0,0.0,1.0,10.77,,0.86,0.66,,35.0,43.0,,0.0,1.37,2.0,50.0,1.0,,,,2.0,0.23,9.16,0.0,,85.0,3655.0,,,,7.05,1.0,7.0,4.0,0.44,,,18.0,11.0,,6.0,26.0,26.0,40.0,52.0,0.27,7.23,0.15,6.03,,7.33,203.06,12.0,- - -,15.0
- -,27,Int,,,,,,65000000.0,94000000.0,137.0,2.0,84.0,111.0,76.0,0.91,34.0,0.31,13.0,0.21,0.02,1.0,38.0,,,,,5.12,215.0,2.41,101.0,9.58,402.0,12.51,5.96,47.14,1979.0,52.72,2213.0,89.0,1.17,49.0,0.07,3.0,0.38,16.0,20.0,4.0,0.0,0.02,1.0,2.26,95.0,0.17,1.52,64.0,11.34,50.0,1.62,68.0,1.64,0.0,2.0,,,,0.11,0.62,26.0,7.7mi,323.7mi,0.21,9.0,1.07,45.0,18.0,11.0,0.69,29.0,19.0,0.45,0.45,19.0,0.33,3.26,47.0,2.0,6.0,4.3,,1.55,0.71,,65.0,45.0,,1.0,1.89,4.0,100.0,1.0,,,,1.0,0.1,4.3,0.0,,80.38,3778.0,,,,6.96,2.0,8.0,3.0,0.1,,,4.0,25.0,,8.0,14.0,53.0,35.0,43.0,0.1,-0.3,0.22,9.14,,7.17,944.5,14.0,- - -,12.0
- -,24,Inj,Lluis Gonzales (4/9/2025),,,,,41000000.0,60000000.0,238.0,1.35,40.0,50.0,80.0,2.91,49.0,1.42,42.0,0.81,0.0,0.0,86.0,,,,,0.54,16.0,1.59,47.0,7.31,216.0,2.84,10.76,19.95,590.0,23.07,682.0,87.0,0.47,14.0,0.0,0.0,0.51,15.0,0.0,17.0,0.0,0.0,0.0,0.47,14.0,0.1,0.98,29.0,6.7,44.0,3.55,105.0,4.5,1.0,5.0,,,,0.12,1.52,45.0,6.9mi,203.4mi,0.0,0.0,0.51,15.0,,17.0,0.41,12.0,4.0,0.14,0.14,4.0,0.1,8.05,32.0,2.0,3.0,10.49,,1.59,1.15,,47.0,30.0,,0.0,1.53,2.0,,0.0,,,,0.0,0.35,10.49,0.0,,83.16,2661.0,,,,6.88,0.0,5.0,1.0,0.51,,,15.0,13.0,,9.0,10.0,41.0,49.0,94.0,0.35,4.51,0.12,3.63,,6.94,177.4,3.0,- - -,14.0
- -,29,Wnt,,,,,,50000000.0,63000000.0,31.0,3.24,45.0,47.0,96.0,0.86,33.0,0.29,4.0,0.29,0.29,4.0,12.0,,,,,5.55,77.0,3.1,43.0,8.65,120.0,13.4,6.49,52.46,728.0,58.44,811.0,90.0,0.86,12.0,0.14,2.0,0.58,8.0,17.0,0.0,0.0,0.07,1.0,1.22,17.0,0.07,1.51,21.0,12.83,45.0,1.01,14.0,1.22,0.0,1.0,,,,0.11,1.15,16.0,8.4mi,116.5mi,0.14,2.0,0.86,12.0,25.0,8.0,0.79,11.0,2.0,0.14,0.29,4.0,0.07,2.23,29.0,16.0,7.0,1.37,,1.95,0.94,,27.0,13.0,,0.0,2.38,1.0,,0.0,,,,0.0,0.1,1.37,417.0,,43.07,1249.0,,,,6.95,0.0,6.0,2.0,0.07,,,1.0,22.0,,4.0,3.0,76.0,19.0,5.0,0.1,-0.37,0.11,1.52,,6.87,1249.0,1.0,- - -,13.0
- -,28,,,,,,,97000000.0,138000000.0,145.0,2.33,53.0,61.0,87.0,2.86,46.0,1.32,30.0,0.84,0.04,1.0,65.0,,,,,2.6,59.0,3.43,78.0,10.69,243.0,5.5,13.47,27.46,624.0,32.13,730.0,85.0,1.1,25.0,0.53,12.0,1.94,44.0,27.0,14.0,0.0,0.0,0.0,1.1,25.0,0.09,1.32,30.0,14.92,55.0,3.52,80.0,2.86,2.0,0.0,,,,0.17,1.8,41.0,8.3mi,188.5mi,0.53,12.0,1.94,44.0,27.0,25.0,0.62,14.0,10.0,0.44,0.26,6.0,0.13,6.38,39.0,21.0,1.0,10.93,,2.07,0.66,,47.0,18.0,,0.0,2.21,4.0,,0.0,,,,0.0,0.48,10.93,16.0,,52.44,2045.0,,,,,,,,0.7,,,16.0,27.0,,7.0,5.0,69.0,29.0,40.0,0.48,5.07,0.14,3.08,,7.24,127.81,3.0,- - -,12.0
- -,31,Int,,,,,,39000000.0,60000000.0,119.0,2.26,68.0,80.0,85.0,0.9,26.0,0.23,7.0,0.53,0.03,1.0,27.0,,,,,6.02,181.0,2.86,86.0,9.52,286.0,10.55,7.62,53.82,1617.0,58.68,1763.0,92.0,1.1,33.0,0.0,0.0,0.1,3.0,0.0,2.0,0.0,0.07,2.0,1.1,33.0,0.3,1.96,59.0,11.72,54.0,2.13,64.0,1.83,0.0,0.0,,,,0.09,1.16,35.0,8.1mi,243.6mi,0.0,0.0,0.13,4.0,,11.0,0.5,15.0,3.0,0.1,0.5,15.0,0.07,3.96,42.0,4.0,6.0,2.37,,1.4,1.13,,42.0,38.0,,0.0,1.69,2.0,,0.0,,,,0.0,0.08,2.37,1053.0,,64.38,2704.0,,,,7.06,1.0,5.0,0.0,0.1,,,3.0,20.0,,11.0,11.0,48.0,39.0,10.0,0.08,0.63,0.1,2.93,,6.96,901.33,2.0,- - -,12.0
- -,24,,,,,,,88000000.0,88000000.0,164.0,2.71,99.0,117.0,85.0,2.08,42.0,0.87,32.0,0.68,0.0,0.0,76.0,,,,,4.29,157.0,3.91,143.0,14.27,522.0,5.3,15.03,31.65,1158.0,38.15,1396.0,83.0,1.61,59.0,0.68,25.0,3.85,141.0,17.0,8.0,0.0,0.03,1.0,2.05,75.0,0.03,1.97,72.0,16.86,38.0,1.69,62.0,2.79,2.0,4.0,,,,0.12,3.09,113.0,8.6mi,315.5mi,0.77,28.0,4.56,167.0,17.0,11.0,0.66,24.0,15.0,0.41,0.22,8.0,0.16,4.48,43.0,2.0,2.0,9.39,,1.42,1.53,,52.0,41.0,,0.0,1.28,4.0,,0.0,,,,0.0,0.26,9.39,143.0,,76.58,3293.0,,,,,,,,0.22,,,8.0,14.0,,16.0,13.0,33.0,41.0,52.0,0.26,-1.39,0.19,7.13,,7.19,411.62,6.0,- - -,15.0
- -,27,Int,,,,,,59000000.0,84000000.0,174.0,2.3,83.0,121.0,69.0,0.69,44.0,0.3,11.0,0.39,0.28,10.0,25.0,,,,,6.12,221.0,3.43,124.0,10.13,366.0,12.51,6.23,52.94,1913.0,58.42,2111.0,91.0,1.19,43.0,0.11,4.0,0.36,13.0,29.0,0.0,0.0,0.11,4.0,1.25,45.0,0.28,1.58,57.0,12.7,53.0,2.57,93.0,2.24,2.0,2.0,,,,0.07,0.69,25.0,8.1mi,292.6mi,0.28,10.0,0.97,35.0,30.0,20.0,0.8,29.0,13.0,0.36,0.47,17.0,0.11,4.82,52.0,12.0,8.0,1.81,,1.72,1.08,,62.0,40.0,,0.0,1.9,0.0,,0.0,,,,0.0,0.05,1.81,306.0,,62.54,3252.0,,,,6.84,2.0,9.0,2.0,0.14,,,5.0,29.0,,11.0,12.0,56.0,61.0,17.0,0.05,3.19,0.12,4.34,,6.94,650.4,4.0,- - -,13.0
- -,29,,,,,,,76000000.0,96000000.0,253.0,1.3,39.0,50.0,78.0,3.33,51.0,1.7,51.0,1.23,0.03,1.0,100.0,,,,,0.8,24.0,1.63,49.0,7.3,219.0,1.77,16.47,19.41,582.0,23.24,697.0,84.0,0.5,15.0,0.1,3.0,0.53,16.0,19.0,22.0,1.0,0.0,0.0,0.5,15.0,0.1,0.93,28.0,6.8,47.0,4.0,120.0,4.43,3.0,8.0,,,,0.11,0.97,29.0,7.4mi,222.5mi,0.1,3.0,0.53,16.0,18.0,13.0,0.13,4.0,4.0,0.13,0.17,5.0,0.03,8.44,39.0,3.0,6.0,10.71,,1.27,1.23,,38.0,36.0,,0.0,1.54,2.0,100.0,4.0,,,,4.0,0.36,10.71,387.0,,69.21,2699.0,,,,,,,,0.43,,,13.0,17.0,,13.0,9.0,44.0,46.0,75.0,0.36,2.29,0.12,3.64,,6.95,207.62,1.0,- - -,14.0
- -,32,Inj,,,,,,24000000.0,37000000.0,22.0,1.19,19.0,36.0,53.0,3.0,52.0,1.56,25.0,0.25,0.0,0.0,48.0,,,,,0.31,5.0,0.38,6.0,1.12,18.0,0.31,3.94,13.0,208.0,21.0,336.0,62.0,0.31,5.0,0.0,0.0,0.25,4.0,0.0,3.0,0.0,0.0,0.0,0.31,5.0,0.0,,0.0,1.25,50.0,0.69,11.0,0.69,0.0,0.0,,,,0.14,0.12,2.0,1.3mi,21.1mi,0.0,0.0,0.25,4.0,,17.0,0.0,0.0,0.0,,,0.0,0.31,1.38,17.0,2.0,1.0,6.82,,0.25,0.12,,4.0,15.0,,1.0,1.12,0.0,100.0,1.0,,,,1.0,0.38,6.02,0.0,,84.71,1440.0,,,,,,,,0.5,,,8.0,1.0,,0.0,16.0,6.0,37.0,34.0,0.43,1.18,0.07,1.07,,6.99,180.0,5.0,- - -,12.0
- -,25,,,,,,,103000000.0,124000000.0,130.0,1.95,66.0,85.0,78.0,0.38,38.0,0.15,5.0,0.12,0.15,5.0,13.0,,,,,4.96,168.0,2.45,83.0,9.03,306.0,18.27,4.28,49.53,1678.0,55.11,1867.0,90.0,1.12,38.0,0.0,0.0,0.44,15.0,0.0,4.0,0.0,0.06,2.0,1.12,38.0,0.3,1.24,42.0,11.16,45.0,1.74,59.0,2.1,0.0,0.0,,,,0.1,0.47,16.0,7.2mi,245.1mi,0.0,0.0,0.44,15.0,,8.0,0.62,21.0,10.0,0.3,0.47,16.0,0.3,3.84,40.0,6.0,5.0,1.36,,2.95,0.38,,100.0,34.0,,0.0,2.73,1.0,,0.0,,,,0.0,0.04,1.36,0.0,,76.22,3049.0,,,,,,,,0.03,,,1.0,35.0,,1.0,4.0,88.0,32.0,21.0,0.04,-0.36,0.24,8.04,,7.13,3049.0,10.0,- - -,13.0
- -,25,,,,,,,52000000.0,67000000.0,184.0,1.74,75.0,84.0,89.0,0.42,11.0,0.05,2.0,0.07,0.58,25.0,18.0,,,,,3.86,166.0,1.05,45.0,3.16,136.0,12.26,2.84,50.84,2186.0,56.26,2419.0,90.0,0.07,3.0,0.02,1.0,0.16,7.0,14.0,0.0,0.0,0.28,12.0,0.07,3.0,0.56,1.72,74.0,3.56,72.0,3.09,133.0,1.19,0.0,0.0,,,,0.07,0.33,14.0,5.4mi,231.8mi,0.02,1.0,0.16,7.0,14.0,,0.74,32.0,2.0,0.05,0.3,13.0,,4.28,43.0,0.0,3.0,1.25,,0.98,0.93,,42.0,43.0,,1.0,1.26,2.0,,0.0,,,,0.0,0.03,1.25,,,90.0,3870.0,,,,,,,,,,,0.0,11.0,,11.0,21.0,26.0,26.0,26.0,0.03,-1.25,0.02,0.87,,7.0,,0.0,- - -,14-16
- -,28,Int,,,,,,47000000.0,59000000.0,321.0,1.09,54.0,71.0,76.0,0.6,13.0,0.08,4.0,0.2,0.6,30.0,30.0,,,,,4.99,248.0,1.23,61.0,3.16,157.0,15.5,2.66,62.03,3081.0,66.74,3315.0,93.0,0.3,15.0,0.0,0.0,0.16,8.0,0.0,1.0,0.0,0.34,17.0,0.3,15.0,0.74,2.05,102.0,5.64,75.0,4.85,241.0,1.61,1.0,0.0,,,,0.11,0.24,12.0,7.2mi,357.0mi,0.0,0.0,0.16,8.0,,7.0,0.91,45.0,1.0,0.02,0.46,23.0,0.06,6.46,49.0,0.0,10.0,3.17,,1.25,0.97,,62.0,49.0,,0.0,1.57,2.0,,0.0,,,,0.0,0.06,3.17,2144.0,,91.22,4470.0,,,,7.16,2.0,7.0,0.0,0.04,,,2.0,22.0,,16.0,11.0,45.0,28.0,15.0,0.06,-1.17,0.03,1.54,,7.04,2235.0,3.0,- - -,14.0
- -,28,Int,,,,,,24000000.0,30000000.0,140.0,1.68,55.0,64.0,86.0,0.55,28.0,0.15,5.0,0.12,0.43,14.0,18.0,,,,,2.84,93.0,0.67,22.0,1.74,57.0,10.06,2.08,43.09,1409.0,48.23,1577.0,89.0,0.18,6.0,0.0,0.0,0.06,2.0,0.0,0.0,1.0,0.18,6.0,0.18,6.0,0.55,1.07,35.0,3.15,79.0,3.36,110.0,0.92,0.0,0.0,,,,0.07,0.03,1.0,4.6mi,148.8mi,0.0,0.0,0.06,2.0,,,0.8,26.0,2.0,0.06,0.46,15.0,0.03,4.28,35.0,2.0,7.0,1.32,,1.04,0.73,,34.0,33.0,,1.0,1.54,3.0,,0.0,,,,0.0,0.04,1.32,,,84.09,2943.0,,,,7.11,1.0,11.0,0.0,,,,0.0,12.0,,5.0,18.0,34.0,35.0,25.0,0.04,-1.32,0.03,0.98,,7.12,,1.0,- - -,15.0
- -,31,,,,,,,Not for Sale,Not for Sale,0.0,1.81,76.0,82.0,93.0,2.57,53.0,1.36,57.0,0.0,0.0,0.0,108.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.19,596.0,20.0,840.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.1,,0.0,0.0mi,0.0mi,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,,,0.0,0.14,,42.0,0.0,0.0,10.86,,0.0,0.0,,0.0,42.0,,0.0,1.0,5.0,100.0,1.0,,,,1.0,0.24,10.06,0.0,,90.0,3780.0,,,,7.0,0.0,4.0,0.0,0.17,,,7.0,0.0,,0.0,42.0,0.0,50.0,58.0,0.26,-3.86,0.11,4.43,,7.64,540.0,6.0,- - -,13.0
- -,26,,,,,,,54000000.0,67000000.0,125.0,1.57,31.0,42.0,74.0,3.99,47.0,1.87,37.0,0.81,0.0,0.0,79.0,,,,,1.01,20.0,2.12,42.0,6.87,136.0,1.62,19.09,18.08,358.0,21.06,417.0,86.0,0.71,14.0,0.05,1.0,0.45,9.0,11.0,19.0,0.0,0.1,2.0,0.71,14.0,0.0,0.81,16.0,6.46,18.0,1.16,23.0,5.15,1.0,0.0,,,,0.12,1.41,28.0,7.6mi,150.1mi,0.05,1.0,0.45,9.0,11.0,14.0,0.15,3.0,3.0,0.15,0.15,3.0,0.05,6.31,36.0,19.0,0.0,9.33,,2.07,0.96,,41.0,17.0,,0.0,1.64,0.0,,0.0,,,,0.0,0.47,9.33,199.0,,49.5,1782.0,,,,,0.0,1.0,1.0,0.56,,,11.0,16.0,,9.0,11.0,44.0,22.0,49.0,0.47,1.67,0.11,2.16,,6.92,162.0,1.0,- - -,17.0
- -,28,,,,,,,7200000.0,12000000.0,60.0,1.35,53.0,69.0,77.0,2.35,42.0,1.0,39.0,0.28,0.0,0.0,92.0,,,,,1.07,42.0,0.97,38.0,3.47,136.0,5.16,3.83,19.72,772.0,25.42,995.0,78.0,0.66,26.0,0.03,1.0,0.23,9.0,11.0,0.0,0.0,0.08,3.0,0.66,26.0,0.0,0.46,18.0,4.6,30.0,0.46,18.0,1.07,2.0,0.0,,,,0.08,0.54,21.0,2.9mi,111.8mi,0.03,1.0,0.23,9.0,11.0,2.0,0.26,10.0,7.0,0.18,0.03,1.0,0.2,1.53,41.0,1.0,0.0,7.4,,0.54,0.18,,21.0,40.0,,0.0,1.49,3.0,,0.0,,,,0.0,0.19,7.4,0.0,,85.93,3523.0,,,,,,,,0.05,,,2.0,10.0,,0.0,31.0,24.0,26.0,61.0,0.19,-5.4,0.25,9.83,,7.44,1761.5,8.0,- - -,13-16
- -,24,,,,,,,35000000.0,51000000.0,48.0,2.11,44.0,53.0,83.0,4.26,33.0,1.39,29.0,1.29,0.0,0.0,89.0,,,,,2.44,51.0,2.2,46.0,8.33,174.0,4.07,9.67,28.71,600.0,35.17,735.0,82.0,1.15,24.0,0.48,10.0,1.53,32.0,20.0,8.0,0.0,0.0,0.0,2.49,52.0,0.05,0.91,19.0,11.05,25.0,0.57,12.0,1.72,5.0,5.0,,,,0.12,2.2,46.0,5.5mi,114.0mi,1.24,26.0,6.36,133.0,31.0,4.0,0.33,7.0,8.0,0.38,0.14,3.0,0.19,2.3,40.0,25.0,0.0,10.9,,0.86,0.72,,18.0,15.0,,0.0,1.5,3.0,100.0,1.0,,,,1.0,0.52,10.9,0.0,,47.02,1881.0,,,,,,,,0.19,,,4.0,14.0,,8.0,18.0,35.0,21.0,26.0,0.52,-6.9,0.18,3.78,,7.05,470.25,4.0,- - -,16.0
- -,24,,,,,,,56000000.0,80000000.0,122.0,2.24,77.0,110.0,70.0,1.16,38.0,0.44,15.0,0.58,0.15,5.0,40.0,,,,,4.77,164.0,2.88,99.0,10.16,349.0,12.05,7.16,48.23,1657.0,52.8,1814.0,91.0,1.02,35.0,0.12,4.0,0.9,31.0,11.0,2.0,0.0,0.06,2.0,1.19,41.0,0.06,1.83,63.0,16.97,41.0,1.46,50.0,2.1,2.0,3.0,,,,0.13,1.37,47.0,8.6mi,293.8mi,0.23,8.0,2.21,76.0,12.0,15.0,0.82,28.0,13.0,0.38,0.47,16.0,0.09,3.55,38.0,0.0,8.0,5.36,,1.6,1.22,,55.0,38.0,,1.0,1.84,2.0,,0.0,,,,0.0,0.16,5.36,1169.0,,81.37,3092.0,,,,7.62,6.0,11.0,3.0,0.17,,,6.0,21.0,,10.0,7.0,55.0,54.0,31.0,0.16,0.64,0.16,5.57,,7.03,515.33,3.0,- - -,14.0
- -,24,,,,,,,54000000.0,75000000.0,121.0,2.69,74.0,83.0,89.0,1.24,24.0,0.29,8.0,0.44,0.0,0.0,34.0,,,,,2.91,80.0,3.53,97.0,13.13,361.0,5.06,15.68,33.18,912.0,38.42,1056.0,86.0,1.31,36.0,0.44,12.0,3.38,93.0,13.0,6.0,0.0,0.0,0.0,1.35,37.0,0.07,1.82,50.0,16.7,39.0,1.71,47.0,2.69,0.0,1.0,,,,0.1,3.49,96.0,8.2mi,225.0mi,0.47,13.0,3.6,99.0,12.0,12.0,0.91,25.0,7.0,0.25,0.29,8.0,0.07,4.4,35.0,0.0,1.0,3.25,,1.27,1.13,,35.0,35.0,,0.0,1.34,6.0,,0.0,,,,0.0,0.12,3.25,409.0,,70.69,2474.0,,,,7.12,0.0,11.0,5.0,0.15,,,4.0,13.0,,14.0,8.0,37.0,31.0,38.0,0.12,0.75,0.16,4.36,,7.18,618.5,2.0,- - -,15.0
- -,21,,,,,,,19500000.0,19500000.0,41.0,1.0,23.0,29.0,79.0,2.84,43.0,1.22,28.0,0.57,0.04,1.0,65.0,,,,,0.83,19.0,1.57,36.0,5.64,129.0,3.84,3.98,19.83,454.0,24.64,564.0,80.0,0.31,7.0,0.04,1.0,0.39,9.0,8.0,0.0,0.0,0.0,0.0,0.35,8.0,0.0,0.92,21.0,5.64,22.0,0.39,9.0,1.4,1.0,0.0,,,,0.12,0.66,15.0,3.5mi,79.6mi,0.04,1.0,0.52,12.0,11.0,6.0,0.17,4.0,2.0,0.09,0.13,3.0,0.04,1.79,25.0,3.0,1.0,7.59,,0.66,0.44,,15.0,22.0,,0.0,1.36,2.0,,0.0,,,,0.0,0.33,7.59,0.0,,82.4,2060.0,,,,6.98,1.0,10.0,0.0,0.17,,,4.0,6.0,,3.0,16.0,24.0,11.0,35.0,0.33,-3.59,0.14,3.19,,7.28,515.0,1.0,- - -,15.0
- -,26,Int,,,,,,77000000.0,93000000.0,49.0,1.51,46.0,54.0,85.0,2.24,50.0,1.12,34.0,0.3,0.0,0.0,68.0,,,,,1.08,33.0,1.45,44.0,6.34,193.0,2.63,7.1,24.26,738.0,29.42,895.0,82.0,0.43,13.0,0.26,8.0,1.61,49.0,16.0,4.0,0.0,0.0,0.0,0.43,13.0,0.0,0.82,25.0,6.67,12.0,0.2,6.0,1.41,0.0,0.0,,,,0.11,1.97,60.0,3.9mi,118.0mi,0.26,8.0,1.61,49.0,16.0,7.0,0.46,14.0,1.0,0.03,0.23,7.0,0.2,1.61,34.0,2.0,0.0,7.43,,0.89,0.26,,27.0,32.0,,0.0,1.74,3.0,,0.0,,,,0.0,0.24,7.43,0.0,,80.53,2738.0,,,,7.68,2.0,10.0,0.0,0.16,,,5.0,14.0,,3.0,17.0,41.0,27.0,52.0,0.24,-2.43,0.09,2.88,,7.31,547.6,6.0,- - -,15.0
- -,25,,,,,,,43000000.0,52000000.0,78.0,1.97,61.0,67.0,91.0,0.71,36.0,0.26,8.0,0.16,0.36,11.0,22.0,,,,,1.78,55.0,0.61,19.0,1.45,45.0,8.89,0.94,32.13,994.0,38.02,1176.0,85.0,0.06,2.0,0.0,0.0,0.06,2.0,0.0,0.0,0.0,0.1,3.0,0.06,2.0,0.42,0.61,19.0,2.84,79.0,2.0,62.0,0.52,0.0,0.0,,,,0.13,0.19,6.0,2.8mi,87.7mi,0.0,0.0,0.06,2.0,,23.0,0.26,8.0,2.0,0.06,0.06,2.0,0.06,2.52,31.0,0.0,9.0,2.94,,0.42,0.39,,13.0,31.0,,2.0,1.19,6.0,,0.0,,,,0.0,0.1,2.94,0.0,,89.81,2784.0,,,,7.25,1.0,10.0,0.0,0.16,,,5.0,4.0,,2.0,25.0,13.0,35.0,33.0,0.1,2.06,0.02,0.73,,7.56,556.8,2.0,- - -,15.0
- -,28,Wnt,,,,,,14000000.0,17000000.0,15.0,2.1,61.0,65.0,94.0,0.45,15.0,0.07,2.0,0.0,0.0,0.0,13.0,,,,,0.38,11.0,0.14,4.0,0.28,8.0,1.28,0.14,17.72,514.0,23.55,683.0,75.0,0.03,1.0,0.0,0.0,0.03,1.0,0.0,0.0,0.0,0.07,2.0,0.03,1.0,0.03,0.17,5.0,0.34,60.0,0.31,9.0,0.21,0.0,0.0,,,,0.1,,0.0,0.5mi,13.5mi,0.0,0.0,0.03,1.0,,15.0,0.07,2.0,0.0,,0.03,1.0,0.07,0.52,29.0,0.0,4.0,1.29,,0.17,0.14,,5.0,29.0,,0.0,1.07,1.0,,0.0,,,,0.0,0.04,1.29,0.0,,90.0,2610.0,,,,,,,,0.07,,,2.0,1.0,,0.0,28.0,3.0,33.0,37.0,0.04,0.71,0.02,0.59,,7.39,1305.0,2.0,- - -,13.0
