Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate
2024-25,Carlos,R. Madrid,"DM, M/AM (C)",,18,Inj,Full Contract,ESP,220000.0,650000.0,19500.0,7/11/2022,6/30/2026,0.0,,,,,,,,,,Youngster,Trained at club (15-21),Fairly Determined,15.0,Flu,,,,12.0,2.0,10.0,10.0,6.0,15.0,7.0,3.0,1.0,9.0,14.0,6.0,3.0,14.0,10.0,1.0,8.0,15.0,12.0,5.0,3.0,7.0,10.0,2.0,2.0,8.0,4.0,8.0,13.0,10.0,1.0,11.0,13.0,3.0,5.0,2.0,1.0,1.0,8.0,8.0,10.0,13.0,13.0,3.0,11.0,12.0
2024-25,Pol Durán,R. Madrid C,"DM, M (C)",,18,Unr,Full Contract,ESP,140000.0,400000.0,72000.0,6/4/2024,6/30/2025,0.0,30.0,9.0,21.0,3.0,5.0,7.03,4.0,0.0,1.0,Youngster,Trained at club (15-21),Determined,19.0,,Low,,,10.0,2.0,7.0,10.0,13.0,11.0,9.0,3.0,3.0,7.0,10.0,6.0,7.0,13.0,4.0,3.0,8.0,16.0,7.0,7.0,1.0,8.0,13.0,1.0,2.0,9.0,5.0,6.0,11.0,9.0,1.0,10.0,16.0,3.0,10.0,2.0,2.0,2.0,12.0,8.0,10.0,14.0,12.0,1.0,16.0,12.0
2024-25,Meso,R. Madrid C,"DM, M/AM (C)",,19,Unr,Full Contract,ESP,14000.0,130000.0,109000.0,6/4/2024,6/30/2025,0.0,23.0,11.0,12.0,2.0,1.0,6.82,5.0,0.0,0.0,Youngster,Trained in nation (15-21),Balanced,11.0,,Low,,,14.0,3.0,6.0,11.0,7.0,6.0,1.0,1.0,2.0,9.0,11.0,6.0,7.0,13.0,13.0,1.0,8.0,10.0,15.0,6.0,1.0,6.0,7.0,1.0,5.0,7.0,1.0,9.0,18.0,13.0,3.0,13.0,8.0,2.0,9.0,3.0,2.0,3.0,15.0,9.0,10.0,8.0,13.0,3.0,12.0,12.0
2024-25,Chema,R. Madrid C,"DM, M (C)",,20,Unr,Full Contract,ESP,22000.0,220000.0,16000.0,7/1/2022,6/30/2025,0.0,2.0,2.0,,0.0,1.0,6.8,0.0,0.0,0.0,Youngster,Trained in nation (15-21),Balanced,5.0,,Increased,,,10.0,1.0,8.0,9.0,15.0,14.0,8.0,2.0,3.0,7.0,10.0,2.0,1.0,15.0,9.0,2.0,7.0,12.0,10.0,5.0,3.0,7.0,13.0,1.0,7.0,13.0,1.0,9.0,14.0,8.0,1.0,10.0,11.0,1.0,13.0,1.0,3.0,2.0,10.0,5.0,9.0,12.0,13.0,3.0,14.0,10.0
2024-25,Marc Cucalón,R. Madrid B,"DM, M (C)",,20,Unr,Full Contract,ESP,16000.0,150000.0,57500.0,7/1/2021,6/30/2025,0.0,11.0,11.0,,0.0,1.0,6.7,0.0,0.0,0.0,Future Prospect,Trained at club (15-21),Balanced,3.0,,Increased,,,11.0,2.0,10.0,12.0,9.0,11.0,9.0,1.0,2.0,10.0,10.0,7.0,5.0,15.0,6.0,1.0,8.0,14.0,14.0,7.0,2.0,8.0,9.0,1.0,7.0,11.0,3.0,11.0,11.0,10.0,1.0,11.0,14.0,1.0,12.0,3.0,1.0,3.0,11.0,8.0,13.0,11.0,14.0,3.0,15.0,12.0
2024-25,Mario Martín,R. Madrid B,"DM, M (C)",,21,Unr,Full Contract,ESP,230000.0,2300000.0,145000.0,6/1/2022,6/30/2026,0.0,37.0,0.0,37.0,5.0,3.0,6.94,2.0,0.0,0.0,Future Prospect,Trained at club (15-21),Resolute,16.0,,Low,,,15.0,2.0,13.0,12.0,14.0,10.0,11.0,3.0,2.0,11.0,15.0,8.0,6.0,13.0,10.0,1.0,9.0,13.0,8.0,8.0,2.0,8.0,4.0,3.0,12.0,13.0,7.0,13.0,16.0,12.0,1.0,13.0,14.0,5.0,13.0,3.0,2.0,2.0,14.0,9.0,12.0,12.0,14.0,1.0,11.0,13.0
2024-25,Javi Villar,R. Madrid B,"DM, M (C)",,22,Unr,Full Contract,ESP,300000.0,850000.0,559000.0,6/5/2024,6/30/2025,43000.0,5.0,5.0,,0.0,0.0,6.55,0.0,0.0,0.0,Fringe Player,Trained in nation (15-21),Balanced,11.0,,Increased,,,12.0,4.0,6.0,12.0,13.0,9.0,9.0,2.0,3.0,13.0,10.0,9.0,8.0,14.0,5.0,1.0,7.0,13.0,14.0,7.0,2.0,8.0,12.0,3.0,12.0,13.0,1.0,15.0,14.0,11.0,3.0,11.0,12.0,4.0,11.0,1.0,2.0,2.0,15.0,9.0,14.0,9.0,12.0,2.0,13.0,12.0
2024-25,Takuhiro Nakai,R. Madrid B,"DM, M/AM (C)",S11,21,Unr,Full Contract,JPN,250000.0,2500000.0,691000.0,3/26/2025,6/30/2026,0.0,33.0,10.0,23.0,1.0,3.0,6.74,4.0,0.0,1.0,Youngster,Trained at club (15-21),,8-12,,Low,,,13.0,2-5,8-11,10-14,10-14,9-12,7-10,1-2,1-4,11-15,3-6,3-6,7-10,10-14,14-18,1-3,9.0,14.0,13-16,7-10,2-5,6.0,8.0,1-5,4-7,8.0,5-9,5-8,16-19,8-12,1-3,12.0,14.0,4-8,3-6,1-2,1-4,2-5,8-12,9.0,8-11,11-14,15.0,2-6,13-16,10-14
2024-25,Federico Valverde,R. Madrid,"DM, M (RC), AM (R)",MCR,26,Trv,Full Contract,URU,177000000.0,244000000.0,11686000.0,7/10/2023,6/30/2029,5000000.0,40.0,0.0,40.0,2.0,4.0,7.08,4.0,1.0,3.0,Regular Starter,Trained at club (15-21),Perfectionist,15.0,,,8.0,0.0,17.0,3.0,12.0,16.0,14.0,15.0,15.0,3.0,1.0,12.0,14.0,13.0,12.0,13.0,12.0,3.0,13.0,14.0,14.0,14.0,3.0,12.0,13.0,2.0,14.0,17.0,11.0,14.0,17.0,14.0,1.0,17.0,15.0,11.0,13.0,1.0,2.0,3.0,17.0,14.0,13.0,17.0,13.0,2.0,14.0,17.0
2024-25,Aurélien Tchouameni,R. Madrid,"DM, M (C)",DM,25,Int,Full Contract,FRA,76000000.0,116000000.0,13354000.0,6/30/2022,6/30/2028,107000000.0,59.0,22.0,37.0,9.0,3.0,7.14,2.0,1.0,5.0,Squad Player,,Spirited,16.0,,,3.0,0.0,15.0,2-4,16.0,14-16,16-18,15-17,15-17,1-4,1-4,15-18,13-15,7-9,10.0,14-17,13.0,1-3,7.0,15.0,13.0,5-7,2-4,14.0,14.0,1-2,12.0,14.0,7-10,14-16,16.0,13-15,1.0,15.0,16.0,10-12,16.0,1-4,1-3,1-2,17.0,16.0,16.0,15.0,14.0,1-4,15.0,16.0
2024-25,Jude Bellingham,R. Madrid,"DM, M/AM (C)",MCL,21,,Full Contract,ENG,281000000.0,306000000.0,26323000.0,4/21/2025,6/30/2030,144000000.0,53.0,1.0,52.0,14.0,14.0,7.43,6.0,0.0,10.0,Star Player,,Perfectionist,20.0,,,7.0,2.0,15.0,2.0,17.0,16.0,17.0,15.0,17.0,3.0,4.0,18.0,15.0,11.0,13.0,15.0,18.0,3.0,16.0,17.0,18.0,12.0,1.0,14.0,13.0,1.0,17.0,13.0,6.0,12.0,16.0,17.0,1.0,15.0,17.0,13.0,13.0,1.0,1.0,2.0,17.0,14.0,16.0,16.0,17.0,3.0,17.0,18.0
2024-25,Luka Modrić,R. Madrid,"DM, M/AM (C)",S10,39,Ret,Full Contract,CRO,110000.0,1100000.0,13275000.0,12/30/2023,6/30/2026,56000000.0,30.0,19.0,11.0,0.0,5.0,6.82,0.0,0.0,0.0,Surplus to Requirements,,Model Citizen,17.0,,,7.0,1.0,9.0,1-3,12.0,7-10,14-17,10-13,13-16,4-6,2-4,16-18,15-17,14-16,14.0,16-18,10.0,1-3,8.0,19.0,13.0,10-13,2-4,6.0,5.0,1-2,14.0,12.0,4-6,5-7,13.0,11-14,1-2,8.0,18.0,10-13,13.0,3-5,1-3,1.0,8.0,4.0,9.0,15.0,17.0,2-4,17.0,12.0
2024-25,Carlos Rodríguez,R. Madrid C,DM,,21,Unr,Full Contract,ESP,0.0,60000.0,166000.0,6/4/2024,6/30/2025,0.0,,,,,,,,,,Scouting Required,Trained in nation (15-21),,3-7,,Increased,,,9-13,1-4,3-7,9-13,12-16,7-11,3-7,1-6,1-3,4-8,7-11,5-9,1-4,10-16,2-6,2-6,1-5,8-12,8-12,3-7,1-4,3-9,17-20,1-3,9-13,9-15,1-2,8-12,12-16,6-10,2-6,6-12,8-12,1-3,9-13,1-6,1-5,1-5,6-12,6-10,8-14,5-11,8-14,1.0,4-10,10-16
2024-25,Diego Aguado,R. Madrid C,"D (LC), WB (L)",,18,Unr,Full Contract,ESP,210000.0,650000.0,19500.0,7/11/2022,6/30/2026,0.0,17.0,0.0,17.0,0.0,1.0,6.87,0.0,0.0,0.0,Scouting Required,Trained at club (15-21),,8-15,,Increased,,,14-19,1-6,15-20,11-17,5-11,12-17,5-10,1-4,1-7,3-10,3-8,1-4,10-15,8-15,8-14,1-3,3-8,8-15,5-10,1-3,2-7,6-11,1-3,1-5,2-7,1-3,2-9,4-9,12-17,6-12,1-3,10-15,9-14,1-4,7-12,1-3,1-4,1-5,10-17,5-12,9-14,10-15,4-11,1-8,4-9,7-14
2024-25,Ferland Mendy,R. Madrid,D/WB (L),,29,Inj,Full Contract,FRA,60000000.0,76000000.0,11111000.0,1/29/2024,6/30/2027,58000000.0,36.0,7.0,29.0,1.0,3.0,7.09,2.0,0.0,2.0,Regular Starter,,Fairly Determined,15.0,A broken collarbone,,1.0,0.0,17.0,1.0,14.0,13-16,14.0,15-18,17.0,2-4,1-3,14.0,12.0,4-6,13-15,11.0,11-14,2-4,6-9,13.0,12-14,4-7,2-4,9.0,11.0,1-2,6.0,11-13,12-14,13.0,15.0,11-14,1-3,16.0,12.0,5-8,14.0,1-3,1-3,1-2,14.0,15.0,13.0,15.0,13.0,1-3,9-11,17.0
2024-25,David De la Víbora,R. Madrid B,D/WB/M (L),,22,Unr,Full Contract,ESP,0.0,16000.0,47500.0,7/1/2022,6/30/2025,0.0,35.0,0.0,35.0,1.0,3.0,6.83,2.0,0.0,2.0,Fringe Player,Trained at club (15-21),,15.0,,Increased,,,13.0,1-2,11-14,12-15,12-15,11-15,12-16,1-4,1-5,7-11,9-13,5-9,8-11,10-13,14-17,2-6,3-7,11.0,11-15,5-9,1-2,4.0,2.0,1-4,4-7,8-11,6-10,10.0,8-11,9-12,2-6,11-14,11.0,7-10,11.0,2-5,1-4,1-2,12-15,10.0,12.0,8-11,10-13,1-2,8-11,11-14
2024-25,Fran García,Casciavit,D/WB/M (L),,25,Unr,Full Contract,ESP,11000000.0,11000000.0,5555000.0,6/9/2023,6/30/2027,5750000.0,2.0,0.0,2.0,0.0,0.0,7.1,1.0,0.0,0.0,,Trained at club (15-21),Fairly Professional,14.0,,Low,,,16.0,3.0,14.0,13.0,12.0,17.0,15.0,3.0,3.0,11.0,13.0,11.0,11.0,11.0,12.0,3.0,8.0,10.0,11.0,12.0,2.0,5.0,5.0,2.0,12.0,11.0,14.0,11.0,14.0,13.0,3.0,16.0,12.0,7.0,12.0,2.0,1.0,2.0,15.0,11.0,11.0,15.0,12.0,1.0,12.0,16.0
2024-25,Eduardo Camavinga,R. Madrid,"D (L), DM, M (C)",DL,22,Int,Full Contract,FRA,Not for Sale,Not for Sale,24362000.0,2/6/2025,6/30/2029,33500000.0,38.0,1.0,37.0,6.0,11.0,7.48,2.0,0.0,6.0,Important Player,Trained at club (15-21),Spirited,15.0,,,2.0,0.0,17.0,3.0,15.0,15.0,18.0,16.0,15.0,1.0,1.0,15.0,15.0,6.0,12.0,14.0,12.0,2.0,11.0,16.0,12.0,6.0,1.0,14.0,12.0,2.0,13.0,13.0,13.0,15.0,16.0,14.0,1.0,17.0,16.0,7.0,16.0,2.0,2.0,1.0,19.0,17.0,16.0,16.0,16.0,3.0,14.0,18.0
2024-25,David Alaba,R. Madrid,"D (LC), WB (L), M (C)",DCL,32,,Full Contract,AUT,23000000.0,36000000.0,24037000.0,7/1/2021,6/30/2026,0.0,57.0,1.0,56.0,5.0,5.0,7.15,5.0,0.0,3.0,Regular Starter,,Spirited,16.0,,,,,15.0,1-4,13.0,12-14,14.0,13-15,12.0,1-3,1-3,14.0,14.0,12-14,11-13,15.0,10-12,2-4,9-11,15.0,12-14,14-16,1-3,13.0,12.0,2-4,15.0,13-16,11-13,14.0,18.0,13-15,3-5,15.0,16.0,13-15,16.0,1-4,2-4,1-2,14.0,13.0,14.0,15.0,15.0,1-3,11-14,14.0
2024-25,Bruno Galassi,R. Madrid,"D (C), DM",,18,,Full Contract,ESP,110000.0,110000.0,19500.0,7/1/2023,6/30/2026,0.0,,,,,,,,,,Youngster,Trained in nation (15-21),Driven,18.0,,,,,8.0,1.0,15.0,11.0,11.0,9.0,9.0,3.0,1.0,8.0,13.0,1.0,5.0,14.0,5.0,1.0,6.0,9.0,7.0,5.0,1.0,8.0,11.0,3.0,6.0,9.0,1.0,9.0,11.0,4.0,2.0,11.0,7.0,2.0,15.0,3.0,1.0,2.0,10.0,10.0,14.0,12.0,8.0,1.0,9.0,12.0
2024-25,Emanuel Benjamin,Talavera,"D/WB (R), ST (C)",,17,Yth,Full Contract,ITA,275000.0,275000.0,3600.0,7/1/2022,6/30/2028,0.0,4.0,2.0,2.0,2.0,0.0,7.08,0.0,0.0,0.0,,,Balanced,9.0,,,,,13.0,3.0,7.0,13.0,9.0,11.0,7.0,2.0,2.0,6.0,2.0,3.0,12.0,10.0,13.0,2.0,11.0,11.0,8.0,1.0,2.0,7.0,6.0,2.0,9.0,1.0,3.0,7.0,10.0,7.0,2.0,12.0,9.0,1.0,5.0,2.0,2.0,3.0,15.0,5.0,10.0,12.0,13.0,3.0,6.0,13.0
2024-25,Néstor,R. Madrid B,"D (C), DM",,22,Unr,Full Contract,ESP,7000.0,20000.0,38000.0,7/1/2021,6/30/2025,0.0,37.0,11.0,26.0,0.0,4.0,6.76,6.0,1.0,0.0,Fringe Player,Trained in nation (15-21),Fairly Determined,15.0,,Increased,,,13.0,2.0,10.0,10.0,12.0,10.0,9.0,1.0,1.0,9.0,11.0,5.0,7.0,14.0,8.0,3.0,4.0,13.0,6.0,7.0,2.0,10.0,8.0,1.0,15.0,8.0,1.0,12.0,15.0,9.0,1.0,13.0,13.0,5.0,13.0,3.0,2.0,1.0,9.0,13.0,14.0,8.0,10.0,1.0,9.0,13.0
2024-25,Jesús Fortea,R. Madrid C,D/WB (R),,18,Unr,Full Contract,ESP,15500000.0,24000000.0,1864000.0,4/21/2025,6/30/2029,0.0,15.0,6.0,9.0,1.0,0.0,6.64,0.0,0.0,0.0,Future Prospect,Trained at club (15-21),Balanced,10.0,,Low,,,17.0,2.0,7.0,15.0,9.0,9.0,7.0,3.0,1.0,11.0,9.0,7.0,13.0,12.0,10.0,2.0,2.0,9.0,7.0,3.0,1.0,10.0,11.0,3.0,7.0,8.0,10.0,10.0,13.0,11.0,1.0,16.0,11.0,2.0,11.0,2.0,2.0,1.0,10.0,12.0,15.0,10.0,11.0,1.0,11.0,11.0
2024-25,Roi Torres,R. Madrid C,D/WB (R),,19,Unr,Full Contract,ESP,45000.0,11000000.0,631000.0,1/13/2025,6/30/2029,0.0,6.0,3.0,3.0,0.0,0.0,7.2,1.0,0.0,0.0,Scouting Required,Trained in nation (15-21),,9-14,,Increased,,,15-19,1-4,10-14,9-15,7-13,6-10,5-9,1-2,1-5,7-12,8-12,2-6,12-16,9-14,4-10,1-3,4-8,7-12,5-9,1-3,3-7,8.0,10.0,1-5,8-12,3-8,9-14,9.0,15-19,5-11,1-3,14-18,8-12,1-7,8.0,1-4,1-2,1-5,6-11,9-14,13.0,7-11,4-9,1-5,9-13,5-10
2024-25,Álex Jiménez,R. Madrid C,D/WB (R),,20,,Full Contract,ESP,9000000.0,9000000.0,130000.0,7/11/2022,6/30/2027,0.0,33.0,0.0,33.0,4.0,8.0,7.04,7.0,2.0,2.0,Future Prospect,Trained at club (15-21),Fairly Determined,15.0,,Low,,,15.0,3.0,16.0,15.0,13.0,10.0,14.0,3.0,1.0,9.0,13.0,7.0,13.0,11.0,13.0,3.0,8.0,14.0,11.0,5.0,2.0,8.0,6.0,3.0,11.0,10.0,6.0,12.0,15.0,12.0,1.0,15.0,12.0,7.0,12.0,2.0,2.0,3.0,12.0,8.0,12.0,12.0,13.0,3.0,11.0,11.0
2024-25,Loren,R. Madrid B,D/WB (R),,22,Unr,Full Contract,ESP,5000.0,16000.0,43000.0,7/11/2022,6/30/2025,0.0,33.0,0.0,33.0,1.0,5.0,7.01,13.0,0.0,2.0,Fringe Player,Trained at club (15-21),,6.0,,Low,,,13.0,1-2,13-17,10-13,12-15,11-14,13-16,1-4,1-2,9-12,13-16,7-10,10-14,7-11,5-8,2-5,9-12,12.0,7-10,2-5,1-5,13.0,10.0,1-4,9-13,5-9,8-11,17.0,16-20,10-13,1-4,9-13,10.0,1-4,11.0,1-4,1-3,1-3,8-12,11.0,15.0,11-15,7-11,1-2,7-11,10-14
2024-25,Marvin Park,R. Madrid,D/WB/M/AM (R),,24,Lst,Full Contract,NGA,50000.0,50000.0,505000.0,10/13/2021,6/30/2025,0.0,1.0,1.0,,0.0,0.0,6.7,0.0,0.0,0.0,Surplus to Requirements,Trained at club (15-21),Balanced,10.0,,,1.0,1.0,16.0,1.0,9.0,15.0,10.0,10.0,10.0,2.0,3.0,9.0,8.0,10.0,11.0,10.0,13.0,2.0,11.0,10.0,12.0,11.0,4.0,4.0,8.0,2.0,6.0,9.0,9.0,3.0,13.0,10.0,1.0,16.0,12.0,6.0,6.0,2.0,1.0,2.0,13.0,9.0,7.0,9.0,12.0,2.0,12.0,11.0
2024-25,Dani Carvajal,R. Madrid,D/WB (R),S2,33,Int,Full Contract,ESP,13000000.0,16500000.0,7288000.0,4/8/2025,6/30/2026,12000000.0,38.0,9.0,29.0,1.0,5.0,7.0,9.0,0.0,1.0,Squad Player,Trained at club (15-21),Perfectionist,16.0,,,5.0,1.0,13.0,1-3,17.0,10-13,16.0,15-18,18.0,3-5,2-4,13.0,13.0,10-12,14-16,14.0,11-14,1-2,9-12,14.0,11-13,8-11,1-2,10.0,8.0,1-4,14.0,11-13,12-14,13.0,14.0,15-18,1-2,13.0,13.0,8-11,16.0,2-4,1-3,1.0,14.0,11.0,15.0,16.0,12.0,2-4,10-12,18.0
2024-25,Ariel,R. Madrid,D (LC),,18,,Full Contract,ESP,Unknown,Unknown,19500.0,7/1/2023,6/30/2026,0.0,,,,,,,,,,Future Prospect,Trained in nation (15-21),Balanced,9.0,,,,,11.0,3.0,9.0,9.0,9.0,9.0,8.0,1.0,3.0,9.0,13.0,5.0,9.0,14.0,7.0,3.0,6.0,9.0,6.0,2.0,2.0,11.0,8.0,3.0,5.0,3.0,3.0,10.0,13.0,5.0,4.0,10.0,8.0,6.0,14.0,2.0,3.0,3.0,10.0,10.0,14.0,8.0,7.0,1.0,6.0,9.0
2024-25,Liberto,R. Madrid,D (L),,18,,Full Contract,ESP,110000.0,110000.0,19500.0,7/11/2022,6/30/2026,0.0,,,,,,,,,,Youngster,Trained at club (15-21),Fairly Determined,16.0,,,,,14.0,2.0,13.0,12.0,9.0,14.0,9.0,2.0,1.0,7.0,14.0,4.0,8.0,13.0,6.0,2.0,1.0,10.0,7.0,1.0,1.0,6.0,10.0,1.0,3.0,4.0,6.0,10.0,12.0,9.0,2.0,12.0,7.0,1.0,6.0,3.0,3.0,1.0,15.0,7.0,12.0,12.0,9.0,2.0,8.0,13.0
2024-25,Manu Serrano,R. Madrid C,D (LC),,21,Unr,Full Contract,ESP,45000.0,450000.0,166000.0,6/5/2024,6/30/2026,0.0,4.0,0.0,4.0,0.0,0.0,6.95,0.0,0.0,1.0,Youngster,Trained at club (15-21),Balanced,10.0,,Increased,,,14.0,1.0,15.0,12.0,12.0,10.0,10.0,3.0,3.0,10.0,7.0,4.0,8.0,14.0,7.0,2.0,1.0,9.0,6.0,2.0,3.0,13.0,10.0,3.0,13.0,7.0,1.0,12.0,8.0,7.0,1.0,13.0,8.0,1.0,13.0,2.0,1.0,3.0,10.0,9.0,12.0,8.0,8.0,4.0,8.0,9.0
2024-25,Edgar Pujol,R. Madrid B,D (LC),S8,20,Unr,Full Contract,ESP,1900000.0,4000000.0,86500.0,7/11/2022,6/30/2027,0.0,33.0,0.0,33.0,2.0,4.0,6.76,3.0,0.0,1.0,Future Prospect,Trained at club (15-21),,11.0,,Low,,,14.0,1-2,4-8,8-13,10-15,10-15,10-15,1-5,1-6,8-14,10-14,3-7,10-14,14-18,2-7,1-2,7-12,12.0,3-7,2-7,2-6,11.0,10.0,1-2,13-17,5-9,2-8,13.0,15-19,5-10,1-4,9-13,13.0,1-6,13.0,3-7,2-7,1-2,8-12,11.0,12.0,5-9,10-14,1-4,9-13,11-15
2024-25,Nacho,R. Madrid,D (RLC),S6,35,Lst,Full Contract,ESP,20000.0,20000.0,4422000.0,4/30/2024,6/30/2025,0.0,40.0,26.0,14.0,0.0,2.0,6.9,2.0,0.0,0.0,Fringe Player,Trained at club (15-21),Professional,14.0,,,,,10.0,2-5,15.0,10-12,15.0,11-14,14.0,2-4,1-3,13.0,14.0,6-8,10-12,14.0,8-10,1-2,8-11,13.0,8-10,6-9,1-2,14.0,11.0,2-4,13.0,6-8,13-15,15.0,15.0,11-13,2-4,10.0,13.0,6-8,14.0,1-3,1-2,2-5,12.0,12.0,15.0,16.0,10.0,3-5,9-12,17.0
2024-25,Aoula Nomogo,R. Madrid,D (C),,15,Yth,Full Contract,ESP,Unknown,Unknown,3600.0,3/29/2025,6/30/2029,0.0,,,,,,,,,,Scouting Required,,,12-20,,,,,5-11,,8-14,,6-16,,,,,,,,,14-20,,,,1-9,,,,2-10,9-15,,,,,11-17,,,,1-9,4-10,,10-20,,,,12-20,1-9,4-12,1-9,7-15,,,9-17
2024-25,Sergio Femia,R. Madrid,D (C),,15,Yth,Full Contract,ITA,Unknown,Unknown,3600.0,3/29/2025,6/30/2029,0.0,,,,,,,,,,Scouting Required,,,7-15,,,,,6-14,,2-10,,3-9,,,,,,,,,7-17,,,,1-9,,,,1-11,14-20,,,,,12-20,,,,2-12,5-13,,9-15,,,,6-16,1-8,9-19,10-20,10-20,,,11-20
2024-25,Francisco Javier Trigueros,R. Madrid,D (C),,16,Int,Full Contract,ESP,Unknown,Unknown,3600.0,3/29/2024,6/30/2028,0.0,,,,,,,,,,Scouting Required,,,10-20,,,,,12-20,,16-20,,5-13,,,,,,,,,6-16,,,,6-16,,,,4-10,4-12,,,,,1-7,,,,12-18,8-16,,11-17,,,,5-15,4-14,8-14,12-18,4-14,,,7-17
2024-25,Paulo Almeida,R. Madrid,D (C),,18,,Full Contract,ESP,Unknown,Unknown,19500.0,7/11/2022,6/30/2026,0.0,,,,,,,,,,Scouting Required,Trained at club (15-21),,15-20,,,,,13-20,,11-18,,2-10,,,,,,,,,6-15,,,,3-12,,,,13-19,1-5,,,,,6-13,,,,12-18,6-13,,9-15,,,,3-12,8-17,12-18,4-10,1-7,,,1-10
2024-25,Montolío,R. Madrid C,D (C),,18,Unr,Full Contract,ESP,15000000.0,19000000.0,676000.0,9/7/2024,6/30/2027,0.0,34.0,0.0,34.0,0.0,0.0,6.82,1.0,0.0,2.0,Scouting Required,,,14-19,,Increased,,,9-13,1-3,11-15,13-17,14-18,9-15,7-13,3-7,1-4,8-13,9-14,3-8,3-7,11-15,4-8,2-7,2-8,11-16,5-10,6-12,1-3,13.0,11.0,2-6,6-10,5-9,4-9,11.0,8-12,9-13,2-7,7-11,11-15,6-10,12.0,2-6,1-6,1-4,11-15,5-10,15.0,8-12,15-19,1-4,9-13,10-14
2024-25,Valde,R. Madrid,D (C),,18,,Full Contract,ESP,Unknown,Unknown,19500.0,1/1/2023,6/30/2026,0.0,,,,,,,,,,Scouting Required,Trained in nation (15-21),,6-15,,,,,10-17,,15-20,,6-14,,,,,,,,,7-16,,,,6-15,,,,7-13,9-16,,,,,6-13,,,,5-11,9-16,,3-9,,,,4-13,8-17,12-18,6-12,1-10,,,1-10
2024-25,Álex Pérez,R. Madrid C,D (C),,20,Unr,Full Contract,ESP,35000.0,350000.0,16250.0,1/24/2023,6/30/2026,0.0,7.0,0.0,7.0,0.0,0.0,6.56,3.0,0.0,0.0,Youngster,Trained in nation (15-21),Balanced,4.0,,Increased,,,10.0,2.0,7.0,7.0,13.0,11.0,10.0,3.0,2.0,10.0,10.0,5.0,5.0,11.0,6.0,1.0,4.0,10.0,7.0,1.0,2.0,15.0,16.0,3.0,10.0,7.0,3.0,12.0,11.0,10.0,2.0,8.0,7.0,2.0,10.0,1.0,1.0,1.0,10.0,14.0,15.0,8.0,5.0,3.0,6.0,10.0
2024-25,Álex Sibacha,R. Madrid C,D (C),,20,Unr,Full Contract,EQG,10000.0,95000.0,166000.0,6/4/2024,6/30/2026,0.0,15.0,0.0,15.0,0.0,1.0,6.68,1.0,0.0,0.0,Scouting Required,Trained at club (15-21),,10-14,A hamstring strain,Very High,4.0,2.0,6-11,1-5,1-6,12-17,11-16,3-7,5-9,1-4,1-2,5-9,10-14,1-4,1-4,11-17,3-8,2-6,1-3,3-7,5-9,1.0,1-2,12.0,12.0,1-6,3-8,1-5,1-2,13.0,9-14,3-8,2-6,13-17,4-9,1-5,13.0,1-6,1-3,3-7,6-12,7-11,13.0,6-10,3-9,1-3,6-10,4-10
2024-25,Kike Ribes,R. Madrid B,D (C),,21,Unr,Full Contract,ESP,4500.0,45000.0,20500.0,7/1/2023,6/30/2025,0.0,1.0,1.0,,0.0,0.0,6.6,0.0,0.0,0.0,Scouting Required,Trained in nation (15-21),,6-10,,Increased,,,10-13,1-4,7-10,8-12,8-12,7-10,7-10,1-3,1-4,8-12,5-8,1-4,1-4,11-15,1-3,1.0,1-2,4-8,3-6,2-5,2-5,13.0,13.0,1-4,11-14,3-7,1-4,14.0,12-15,5-9,1-3,8-11,6-9,1-3,13.0,1-2,1-4,2-5,4-8,9-13,13.0,6-9,4-8,2-6,5-8,5-9
2024-25,Marvel,R. Madrid B,D (C),,22,Unr,Full Contract,MAR,1000.0,10000.0,94000.0,7/1/2021,6/30/2025,0.0,27.0,0.0,27.0,0.0,0.0,6.72,9.0,0.0,0.0,Fringe Player,Trained in nation (15-21),,11.0,,Low,,,13.0,1-2,7-11,10-13,8-11,13-16,12-15,1-4,1-2,8-11,10-13,5-8,5-9,9-13,5-8,2-5,3-6,10.0,12-15,1-3,1-3,13.0,12.0,1-3,3-7,7-11,3-6,12.0,16-20,8-11,4-7,11-15,9.0,3-6,15.0,1-5,2-5,1-2,13-17,15.0,12.0,7-11,8-12,1-3,7-11,12-16
