Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2027-2028,Koba Koindredi,Brighton,"DM, M (C)",,26,,Full Contract,FRA,11500000.0,15000000.0,2963000.0,6/28/2027,6/30/2031,36000000.0,27.0,11.0,16.0,1.0,1.0,6.74,1.0,0.0,0.0,Scouting Required,,,13-16,,,,,10-14,2-5,9-13,12-16,12-16,11-14,8-11,1-3,1-4,13-16,12-15,7-10,9-13,11-15,12-16,1-4,7-10,15.0,13.0,7-10,1-3,11-14,13-16,1-5,5-9,9-13,4-7,12-15,11-15,12-16,1-3,13-16,14.0,11-15,11-14,1-4,1-2,2-5,12-16,13.0,12.0,13-16,13-17,1-3,14.0,11-15,66.0,3.63,0.05,4.0,0.22,0.38,7.0,8.0,0.44,5.0,10.0,21.0,1.15,2.0,0.11,144.5,7.9,23.0,1.26,0.09,,,,0.0,0.0,1.7,35.0,1.92,53.0,12.76,36.0,1.98,0.38,20.0,1.1,1.0,0.05,1.0,2.0,10.0,20.0,1.1,2.0,0.11,20.0,1.1,89.0,811.0,44.59,719.0,39.53,10.34,7.92,211.0,11.6,53.0,2.91,52.0,2.86,,,,,22.0,1.0,0.05,0.33,9.0,0.49,41.0,1.21,68.0,57.0,39.0,2.14,1637.0,,3.56,0.2,-0.9,0.1,15.0,18.0,44.0,6.0,9.0,,12.0,,,0.05,,,,,,,1637.0,60.63,,856.0,1.9,0.1,0.0,,,,0.0,,1.56,,21.0,,1.21,1.15,,1.9,137,131,8.0,8.0
2027-2028,Yukinari Sugawara,FC Porto,D/WB/M/AM (R),DR,27,Wnt,Full Contract,JPN,44000000.0,53000000.0,3433000.0,6/30/2027,6/30/2031,98000000.0,42.0,4.0,38.0,0.0,4.0,6.95,2.0,0.0,1.0,Regular Starter,,Balanced,14.0,,,,,15.0,1-3,12.0,15.0,14.0,11.0,14.0,3-5,1-3,14.0,10.0,11-13,14-16,12.0,12.0,1-3,9-12,14.0,13-15,11-14,1-2,8.0,11.0,1-3,5.0,13-15,11-13,11.0,13.0,11-14,1-3,14.0,16.0,9-12,11.0,3-5,2-5,1-2,16.0,9.0,11.0,13.0,14.0,2-4,12-14,13.0,183.0,5.24,0.11,23.0,0.66,0.46,16.0,33.0,0.94,,22.0,157.0,4.49,35.0,1.0,293.2,8.4,61.0,1.75,0.06,,,,2.0,0.0,2.46,97.0,2.77,53.0,15.59,99.0,2.83,0.2,69.0,1.97,8.0,0.23,1.0,0.0,22.0,67.0,1.92,15.0,0.43,45.0,1.29,90.0,1965.0,56.21,1764.0,50.46,10.3,11.04,345.0,9.87,115.0,3.29,256.0,7.32,,,,,37.0,7.0,0.2,0.63,11.0,0.31,30.0,1.06,87.0,102.0,89.0,2.55,,,6.02,0.17,-2.08,0.06,30.0,19.0,69.0,6.0,7.0,,29.0,,,,,,,,,6.6,3146.0,74.9,,,2.08,0.06,0.0,,,,0.0,,2.21,,82.0,,0.72,2.35,,2.08,242,230,15.0,15.0
2027-2028,Botond Balogh,Casciavit,D (C),,25,Trn,Full Contract,HUN,19500000.0,19500000.0,2052000.0,9/1/2026,6/30/2030,23000000.0,,,,,,,,,,Scouting Required,,,13.0,,Low,4.0,0.0,13-17,1-5,11-15,12-15,13-16,14-17,15-18,1-2,1-4,12-15,11-15,2-6,4-8,11-14,7-10,1-3,4-7,11-14,8-12,5-8,1-5,15.0,15.0,1.0,10-14,3-6,4-7,14.0,12-16,5-8,1-3,12-16,11-15,2-5,15.0,1-2,1-4,1-4,11-14,15-18,13.0,11-15,10-13,2-5,8-12,12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.03,,,,,,,,,,,,,,,,,,,,,,,,,107,107,6.0,6.0
2027-2028,Danny Namaso,FC Porto,"AM (RLC), ST (C)",AMC,27,Wnt,Full Contract,CMR,34000000.0,50000000.0,5320000.0,12/11/2027,6/30/2032,23000.0,36.0,0.0,36.0,15.0,12.0,7.37,2.0,0.0,5.0,Regular Starter,,Fairly Professional,13.0,,,7.0,0.0,15.0,2-4,12.0,14-16,11-13,15.0,11.0,3-5,2-4,14.0,9-12,8-11,12.0,12.0,13.0,1-2,13.0,14.0,14.0,9-11,1-4,10.0,13.0,1-2,9-12,11.0,7-9,5-8,15.0,16.0,1-4,15.0,13.0,13.0,9-11,2-4,1-3,1-2,15.0,13.0,5-7,12.0,15.0,1-2,14.0,11.0,189.0,5.53,0.35,6.0,0.18,0.59,20.0,15.0,0.44,15.0,20.0,24.0,0.7,5.0,0.15,282.0,8.3,48.0,1.4,0.17,,,,0.0,1.0,2.96,88.0,2.57,47.0,10.24,45.0,1.32,0.15,48.0,1.4,0.0,0.0,0.0,12.0,21.0,24.0,0.7,5.0,0.15,48.0,1.4,87.0,1192.0,34.88,1038.0,30.37,9.8,4.54,321.0,9.39,92.0,2.69,77.0,2.25,,,,,100.0,3.0,0.09,0.79,41.0,1.2,41.0,2.93,71.0,52.0,37.0,1.08,205.07,,8.09,0.24,-2.02,0.5,47.0,21.0,69.0,7.0,4.0,,25.0,,,0.44,3.0,7.71,,,,7.0,3076.0,85.44,,204.0,16.21,0.47,1.0,,,,0.0,0.0,2.28,,81.0,,0.82,2.37,,17.02,273,229,87.0,72.0
2027-2028,Kyle Walker,FC Porto,"D (RC), WB (R)",,37,Ret,Full Contract,ENG,40000.0,120000.0,4890000.0,7/1/2026,6/30/2028,64000000.0,3.0,2.0,1.0,0.0,0.0,6.97,0.0,0.0,0.0,Emergency Backup,,Fairly Determined,16.0,,,,,15.0,2-5,13.0,6.0,16.0,10.0,13.0,1-3,1-2,13.0,14.0,4-6,11-13,14.0,10.0,2-4,6-8,14.0,10-12,10-12,1-2,13.0,12.0,1-2,15.0,7-10,10-12,14.0,20.0,12-14,3-5,11.0,14.0,5-7,14.0,2-5,2-4,1-3,12.0,8.0,14.0,16.0,13.0,1.0,10-13,16.0,5.0,2.92,,3.0,1.75,1.17,2.0,1.0,0.58,,25.0,4.0,2.34,1.0,0.58,15.0,8.8,1.0,0.58,0.0,,,,0.0,0.0,0.58,4.0,2.34,80.0,18.7,7.0,4.09,0.0,4.0,2.34,0.0,0.0,0.0,0.0,25.0,4.0,2.34,1.0,0.58,4.0,2.34,91.0,113.0,66.04,103.0,60.19,6.43,8.77,20.0,11.69,6.0,3.51,12.0,7.01,,,,,0.0,1.0,0.58,0.0,,,,,33.0,3.0,1.0,0.58,,,0.73,0.43,0.0,0.0,1.0,1.0,67.0,1.0,0.0,10.0,2.0,,,,,,,,,,154.0,51.33,,,0.0,0.0,0.0,,,,0.0,,1.75,,4.0,,1.17,2.34,,0.0,523,504,12.0,11.0
2027-2028,Luiz Henrique,FC Porto,"M/AM (RL), ST (C)",AMR,27,Wnt,Full Contract,BRA,32000000.0,47000000.0,5260000.0,7/16/2027,6/30/2031,47500000.0,39.0,2.0,37.0,12.0,12.0,7.39,1.0,0.0,6.0,Regular Starter,,Balanced,13.0,,,,,16.0,1.0,10.0,17.0,14.0,13.0,12.0,2.0,3.0,12.0,11.0,8.0,13.0,12.0,18.0,1.0,8.0,14.0,15.0,9.0,3.0,10.0,13.0,2.0,10.0,12.0,8.0,8.0,16.0,14.0,1.0,15.0,13.0,10.0,12.0,1.0,3.0,3.0,14.0,12.0,10.0,10.0,15.0,2.0,13.0,10.0,188.0,5.62,0.36,10.0,0.3,0.66,22.0,13.0,0.39,14.0,17.0,148.0,4.43,25.0,0.75,265.1,7.9,143.0,4.28,0.11,,,,1.0,5.0,2.72,97.0,2.9,52.0,13.07,58.0,1.73,0.06,65.0,1.94,0.0,0.0,1.0,13.0,17.0,146.0,4.37,25.0,0.75,65.0,1.94,85.0,1398.0,41.8,1185.0,35.43,14.41,5.86,421.0,12.59,132.0,3.95,124.0,3.71,,,,,86.0,4.0,0.12,0.84,38.0,1.14,44.0,2.57,83.0,75.0,62.0,1.85,250.83,,10.3,0.31,2.55,0.28,102.0,18.0,72.0,6.0,5.0,,28.0,,,0.36,,,,,,6.9,3010.0,77.18,,468.0,9.45,0.28,0.0,,,,0.0,,2.31,,93.0,,0.84,2.78,,9.45,329,320,63.0,62.0
2027-2028,Evanilson,FC Porto,ST (C),STC,28,Wnt,Full Contract,BRA,37000000.0,46000000.0,7728000.0,6/12/2026,6/30/2030,9000000.0,31.0,0.0,31.0,16.0,2.0,7.01,2.0,0.0,1.0,Regular Starter,,Balanced,13.0,,,,,15.0,2-4,11.0,13-15,13-15,17.0,12.0,1-3,1-3,16.0,11-13,4-6,9.0,14.0,12.0,1.0,17.0,14.0,14.0,7-9,3-5,13.0,14.0,1-3,11-13,10.0,6-9,7-9,13.0,15.0,1-2,15.0,14.0,13.0,6-8,1-2,2-4,2-4,14.0,16.0,8-10,12.0,15.0,1-3,16.0,13.0,300.0,10.36,0.07,1.0,0.03,0.21,6.0,4.0,0.14,20.0,14.0,7.0,0.24,1.0,0.03,213.9,7.4,17.0,0.59,0.18,,,,0.0,1.0,5.8,132.0,4.56,44.0,4.87,14.0,0.48,0.1,17.0,0.59,0.0,0.0,0.0,33.0,14.0,7.0,0.24,1.0,0.03,17.0,0.59,82.0,511.0,17.64,421.0,14.53,6.8,3.04,148.0,5.11,33.0,1.14,13.0,0.45,,,,,81.0,0.0,0.0,0.55,34.0,1.17,42.0,2.8,87.0,23.0,20.0,0.69,162.94,,1.58,0.05,1.76,0.49,36.0,39.0,68.0,5.0,5.0,,21.0,,,0.55,,,,,,8.2,2607.0,84.1,,49.0,14.24,0.49,0.0,,,,0.0,,2.19,,67.0,,0.79,2.31,,14.24,277,209,143.0,113.0
2027-2028,Pepê,FC Porto,"D/WB (R), M/AM (RL)",S11,31,,Full Contract,BRA,,,5368000.0,1/5/2027,6/30/2030,16750000.0,22.0,21.0,1.0,0.0,0.0,6.69,0.0,0.0,0.0,Regular Starter,,Fairly Determined,16.0,,,,,15.0,1-3,10.0,15-18,11-14,13.0,11.0,2-4,2-4,12.0,11-13,7-9,13.0,12.0,14.0,2-4,11.0,14.0,16.0,7-9,1-2,9.0,7.0,1-4,6-9,9.0,3-5,6-8,13.0,13.0,1-2,14.0,13.0,10.0,10-12,1-2,1-2,3-5,15.0,9.0,11-13,12.0,16.0,1-2,11.0,14.0,24.0,3.93,,2.0,0.33,0.33,2.0,6.0,0.98,,15.0,33.0,5.41,6.0,0.98,56.3,9.2,26.0,4.26,0.13,,,,0.0,0.0,3.11,5.0,0.82,21.0,20.49,11.0,1.8,0.0,12.0,1.97,0.0,0.0,0.0,3.0,18.0,32.0,5.25,5.0,0.82,11.0,1.8,85.0,284.0,46.56,242.0,39.67,16.39,4.92,82.0,13.44,26.0,4.26,22.0,3.61,,,,,12.0,0.0,0.0,0.82,3.0,0.49,25.0,1.97,88.0,8.0,7.0,1.15,,,0.72,0.12,-1.51,0.25,7.0,4.0,68.0,3.0,4.0,5.0,15.0,,,,,,,,,,549.0,24.95,,,1.51,0.25,0.0,,,,0.0,,2.18,,14.0,,1.8,2.3,,1.51,340,276,68.0,54.0
2027-2028,Lucas Paquetá,FC Porto,"DM, M (C), AM (LC)",S3,30,,Loan,BRA,51000000.0,60000000.0,9678000.0,9/1/2027,6/29/2028,165000000.0,29.0,24.0,5.0,5.0,3.0,7.03,1.0,0.0,1.0,,,Balanced,13.0,,,6.0,1.0,13.0,1-2,13.0,15-17,12-14,14.0,16.0,1-2,2-5,15.0,10-12,9-11,12.0,12.0,14.0,1-2,12.0,16.0,17.0,11-13,1-3,11.0,11.0,1-2,11-13,12.0,4-7,8-10,13.0,14.0,1-2,13.0,14.0,14.0,9-11,1-3,1-2,2-4,12.0,13.0,11-13,12.0,17.0,1-4,15.0,14.0,46.0,4.64,0.3,1.0,0.1,0.71,7.0,3.0,0.3,20.0,29.0,41.0,4.14,12.0,1.21,84.3,8.5,34.0,3.43,0.15,,,,0.0,1.0,2.62,20.0,2.02,43.0,18.26,19.0,1.92,0.1,19.0,1.92,0.0,0.0,0.0,2.0,29.0,37.0,3.73,11.0,1.11,17.0,1.72,87.0,450.0,45.4,390.0,39.35,14.63,8.37,120.0,12.11,37.0,3.73,43.0,4.34,,,,,25.0,0.0,0.0,0.91,13.0,1.31,52.0,2.52,74.0,27.0,20.0,2.02,178.4,,2.09,0.21,1.26,0.38,17.0,5.0,52.0,7.0,7.0,,15.0,,,0.5,1.0,7.03,,,,,892.0,30.76,,32.0,2.16,0.22,2.0,,,,1.0,50.0,1.79,,21.0,,1.11,2.12,,3.74,313,300,51.0,49.0
2027-2028,Alan Varela,FC Porto,"DM, M (C)",DMCR,26,Wnt,Full Contract,ARG,38000000.0,55000000.0,7161000.0,7/17/2025,6/30/2030,8500000.0,36.0,0.0,36.0,9.0,8.0,7.32,5.0,0.0,2.0,Important Player,,Fairly Loyal,14.0,,,5.0,1.0,14.0,1.0,13.0,15.0,15.0,15.0,14.0,2.0,1.0,16.0,13.0,5.0,9.0,16.0,13.0,2.0,7.0,15.0,14.0,9.0,3.0,8.0,7.0,3.0,13.0,12.0,4.0,14.0,16.0,14.0,1.0,13.0,16.0,13.0,15.0,2.0,3.0,1.0,15.0,13.0,14.0,16.0,14.0,2.0,16.0,15.0,137.0,3.91,0.23,12.0,0.34,0.68,24.0,15.0,0.43,16.0,19.0,21.0,0.6,4.0,0.11,292.8,8.3,44.0,1.25,0.11,,,,0.0,4.0,3.11,28.0,0.8,20.0,13.46,65.0,1.85,0.06,71.0,2.02,1.0,0.03,0.0,2.0,19.0,21.0,0.6,4.0,0.11,71.0,2.02,90.0,1909.0,54.44,1711.0,48.79,8.44,8.56,405.0,11.55,105.0,2.99,210.0,5.99,,,,,58.0,5.0,0.14,0.91,31.0,0.88,53.0,1.65,73.0,70.0,51.0,1.45,350.67,,7.75,0.22,2.58,0.18,31.0,22.0,67.0,5.0,7.0,,24.0,,,0.26,0.0,7.08,,,,8.3,3156.0,87.67,,75.0,6.42,0.18,0.0,,,,0.0,,2.14,,81.0,,0.91,2.31,,6.42,283,214,17.0,11.0
2027-2028,Juan Foyth,FC Porto,"D (RC), WB (R), DM",DCR,30,,Loan,ARG,56000000.0,56000000.0,6441000.0,9/1/2027,6/29/2028,78000000.0,37.0,0.0,37.0,1.0,1.0,6.92,3.0,1.0,0.0,,,Balanced,12.0,,,5.0,0.0,13.0,2.0,14.0,14.0,14.0,14.0,16.0,3.0,4.0,16.0,13.0,7.0,11.0,12.0,12.0,1.0,8.0,15.0,12.0,11.0,1.0,15.0,13.0,2.0,11.0,7.0,8.0,14.0,13.0,13.0,3.0,14.0,14.0,8.0,14.0,1.0,2.0,3.0,15.0,12.0,16.0,15.0,15.0,3.0,13.0,16.0,246.0,6.95,0.03,17.0,0.48,0.28,10.0,26.0,0.73,3.0,16.0,25.0,0.71,4.0,0.11,273.1,7.7,22.0,0.62,0.08,,,,0.0,0.0,2.68,151.0,4.27,61.0,10.2,80.0,2.26,0.42,31.0,0.88,4.0,0.11,0.0,1.0,16.0,25.0,0.71,4.0,0.11,31.0,0.88,92.0,2171.0,61.35,2000.0,56.51,6.81,13.39,201.0,5.68,66.0,1.86,198.0,5.59,,,,,36.0,8.0,0.23,0.34,11.0,0.31,31.0,1.02,76.0,72.0,55.0,1.55,3185.0,,2.88,0.08,-1.99,0.08,15.0,23.0,65.0,6.0,7.0,,24.0,,,0.03,2.0,6.88,,,,6.9,3185.0,86.08,,2183.0,2.99,0.08,0.0,,,,0.0,,2.11,,86.0,,1.05,2.43,,2.99,183,171,6.0,5.0
